Option Code,LAST,LX,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theo Price,Theta,Vega,Volume,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,BID,BX,ASK,AX,,,Exp,Strike,BID,BX,ASK,AX,Option Code,LAST,LX,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theo Price,Theta,Vega,Volume,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,,
SPY201002C170,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.04,.00,--,166.80,166.51,N,167.01,N,,,2 OCT 20,170,0,J,.01,P,SPY201002P170,.01,A,0,1,0.06%,99.94%,0.11%,.00,0,.00,.00,1,72,.005,.00,275.02%,0,,
SPY201002C175,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.04,.00,--,161.80,161.51,N,162.01,N,,,2 OCT 20,175,0,J,.01,P,SPY201002P175,.01,Q,-.02,20,0.06%,99.94%,0.11%,.00,0,.00,.00,20,635,.005,.00,263.88%,0,,
SPY201002C180,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.05,.00,--,156.80,156.50,N,157.00,N,,,2 OCT 20,180,0,J,.01,P,SPY201002P180,.01,N,0,10,0.06%,99.94%,0.11%,.00,0,.00,.00,10,"4,524",.005,.00,253.04%,0,,
SPY201002C185,154.36,I,<empty>,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,0,-.05,.00,--,151.80,151.50,N,152.00,N,,,2 OCT 20,185,0,J,.01,P,SPY201002P185,.01,P,0,200,0.06%,99.94%,0.12%,.00,0,.00,.00,200,543,.005,.00,242.49%,0,,
SPY201002C190,149.44,I,<empty>,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,0,-.04,.00,--,146.80,146.51,N,147.01,N,,,2 OCT 20,190,0,J,.01,P,SPY201002P190,.01,P,0,21,0.06%,99.94%,0.12%,.00,0,.00,.00,21,526,.005,.00,232.21%,0,,
SPY201002C195,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.04,.00,--,141.80,141.51,N,142.01,N,,,2 OCT 20,195,0,J,.01,P,SPY201002P195,.01,P,-.13,100,0.06%,99.94%,0.12%,.00,0,.00,.00,100,158,.005,.00,222.19%,0,,
SPY201002C200,127.67,I,<empty>,40,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,40,20,-.04,.00,--,136.80,136.51,N,137.01,N,,,2 OCT 20,200,0,J,.01,P,SPY201002P200,.02,E,+.01,112,0.06%,99.94%,0.12%,.00,0,.00,.00,112,378,.005,.00,212.41%,0,,
SPY201002C205,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.04,.00,--,131.80,131.51,N,132.01,N,,,2 OCT 20,205,0,J,.01,P,SPY201002P205,.01,B,0,2,0.06%,99.94%,0.12%,.00,0,.00,.00,2,427,.005,.00,202.86%,0,,
SPY201002C210,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.04,.00,--,126.80,126.51,N,127.01,N,,,2 OCT 20,210,0,J,.01,P,SPY201002P210,.01,A,-.01,1,0.06%,99.94%,0.13%,.00,0,.00,.00,1,350,.005,.00,193.52%,0,,
SPY201002C215,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.05,.00,--,121.80,121.50,N,122.00,N,,,2 OCT 20,215,0,J,.01,P,SPY201002P215,.01,P,-.01,25,0.07%,99.93%,0.13%,.00,0,.00,.00,25,456,.005,.00,184.39%,0,,
