,Option Code,LAST,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theta,Vega,Volume.1,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,BID,ASK,Unnamed: 22,Unnamed: 23,Exp,Strike
0,SPY201002C170,0.0,0,<empty>,100.00%,0.00%,<empty>,0.0,0.0,0.0,<empty>,0,-0.04,0.0,--,166.8,166.51,167.01,,,2 OCT 20,170.0
1,SPY201002C175,0.0,0,<empty>,100.00%,0.00%,<empty>,0.0,0.0,0.0,<empty>,0,-0.04,0.0,--,161.8,161.51,162.01,,,2 OCT 20,175.0
2,SPY201002C180,0.0,0,<empty>,100.00%,0.00%,<empty>,0.0,0.0,0.0,<empty>,0,-0.05,0.0,--,156.8,156.5,157.0,,,2 OCT 20,180.0
3,SPY201002C185,154.36,<empty>,1,100.00%,0.00%,<empty>,0.0,0.0,0.0,1,0,-0.05,0.0,--,151.8,151.5,152.0,,,2 OCT 20,185.0
4,SPY201002C190,149.44,<empty>,1,100.00%,0.00%,<empty>,0.0,0.0,0.0,1,0,-0.04,0.0,--,146.8,146.51,147.01,,,2 OCT 20,190.0
5,SPY201002C195,0.0,0,<empty>,100.00%,0.00%,<empty>,0.0,0.0,0.0,<empty>,0,-0.04,0.0,--,141.8,141.51,142.01,,,2 OCT 20,195.0
6,SPY201002C200,127.67,<empty>,40,100.00%,0.00%,<empty>,0.0,0.0,0.0,40,20,-0.04,0.0,--,136.8,136.51,137.01,,,2 OCT 20,200.0
7,SPY201002C205,0.0,0,<empty>,100.00%,0.00%,<empty>,0.0,0.0,0.0,<empty>,0,-0.04,0.0,--,131.8,131.51,132.01,,,2 OCT 20,205.0
8,SPY201002C210,0.0,0,<empty>,100.00%,0.00%,<empty>,0.0,0.0,0.0,<empty>,0,-0.04,0.0,--,126.8,126.51,127.01,,,2 OCT 20,210.0
9,SPY201002C215,0.0,0,<empty>,100.00%,0.00%,<empty>,0.0,0.0,0.0,<empty>,0,-0.05,0.0,--,121.8,121.5,122.0,,,2 OCT 20,215.0
10,SPY201002C220,105.81,<empty>,6,100.00%,0.00%,<empty>,0.0,0.0,0.0,6,10,-0.05,0.0,--,116.8,116.51,116.99,,,2 OCT 20,220.0
11,SPY201002C225,0.0,0,<empty>,100.00%,0.00%,<empty>,0.0,0.0,0.0,<empty>,0,-0.05,0.0,--,111.8,111.51,111.99,,,2 OCT 20,225.0
12,SPY201002C230,97.66,+2.50,50,100.00%,0.00%,<empty>,0.0,0.0,0.0,50,30,-0.05,0.0,--,106.8,106.51,106.99,,,2 OCT 20,230.0
13,SPY201002C235,0.0,0,<empty>,100.00%,0.00%,<empty>,0.0,0.0,0.0,<empty>,0,-0.04,0.0,--,101.8,101.52,102.0,,,2 OCT 20,235.0
