,Exp,Strike,BID.1,ASK.1,Option Code.1,LAST.1,Net Chng.1,Volume.2,Prob.ITM.1,Prob.OTM.1,Prob.Touch.1,Rho.1,Theta.1,Vega.1,Volume.3,Open.Int.1,Extrinsic.1,Gamma.1,Impl Vol.1,Intrinsic.1
0,2 OCT 20,170.0,0.0,0.01,SPY201002P170,0.01,0,1,0.06%,99.94%,0.11%,0.0,0.0,0.0,1,72,0.005,0.0,275.02%,0.0
1,2 OCT 20,175.0,0.0,0.01,SPY201002P175,0.01,-.02,20,0.06%,99.94%,0.11%,0.0,0.0,0.0,20,635,0.005,0.0,263.88%,0.0
2,2 OCT 20,180.0,0.0,0.01,SPY201002P180,0.01,0,10,0.06%,99.94%,0.11%,0.0,0.0,0.0,10,"4,524",0.005,0.0,253.04%,0.0
3,2 OCT 20,185.0,0.0,0.01,SPY201002P185,0.01,0,200,0.06%,99.94%,0.12%,0.0,0.0,0.0,200,543,0.005,0.0,242.49%,0.0
4,2 OCT 20,190.0,0.0,0.01,SPY201002P190,0.01,0,21,0.06%,99.94%,0.12%,0.0,0.0,0.0,21,526,0.005,0.0,232.21%,0.0
5,2 OCT 20,195.0,0.0,0.01,SPY201002P195,0.01,-.13,100,0.06%,99.94%,0.12%,0.0,0.0,0.0,100,158,0.005,0.0,222.19%,0.0
6,2 OCT 20,200.0,0.0,0.01,SPY201002P200,0.02,+.01,112,0.06%,99.94%,0.12%,0.0,0.0,0.0,112,378,0.005,0.0,212.41%,0.0
7,2 OCT 20,205.0,0.0,0.01,SPY201002P205,0.01,0,2,0.06%,99.94%,0.12%,0.0,0.0,0.0,2,427,0.005,0.0,202.86%,0.0
8,2 OCT 20,210.0,0.0,0.01,SPY201002P210,0.01,-.01,1,0.06%,99.94%,0.13%,0.0,0.0,0.0,1,350,0.005,0.0,193.52%,0.0
9,2 OCT 20,215.0,0.0,0.01,SPY201002P215,0.01,-.01,25,0.07%,99.93%,0.13%,0.0,0.0,0.0,25,456,0.005,0.0,184.39%,0.0
10,2 OCT 20,220.0,0.0,0.01,SPY201002P220,0.01,0,1,0.07%,99.93%,0.13%,0.0,0.0,0.0,1,434,0.005,0.0,175.46%,0.0
11,2 OCT 20,225.0,0.0,0.01,SPY201002P225,0.01,0,21,0.07%,99.93%,0.14%,0.0,0.0,0.0,21,"3,112",0.005,0.0,166.71%,0.0
12,2 OCT 20,230.0,0.0,0.01,SPY201002P230,0.01,-.03,52,0.07%,99.93%,0.14%,0.0,0.0,0.0,52,337,0.005,0.0,158.13%,0.0
13,2 OCT 20,235.0,0.0,0.01,SPY201002P235,0.01,0,93,0.07%,99.93%,0.14%,0.0,0.0,0.0,93,"1,035",0.005,0.0,149.72%,0.0
14,2 OCT 20,240.0,0.0,0.01,SPY201002P240,0.01,0,2,0.08%,99.92%,0.15%,0.0,0.0,0.0,2,463,0.005,0.0,141.47%,0.0
15,2 OCT 20,245.0,0.0,0.01,SPY201002P245,0.02,0,22,0.08%,99.92%,0.15%,0.0,0.0,0.0,22,344,0.005,0.0,133.37%,0.0
16,2 OCT 20,250.0,0.0,0.01,SPY201002P250,0.02,-.01,644,0.08%,99.92%,0.16%,0.0,0.0,0.0,644,"21,360",0.005,0.0,125.40%,0.0
17,2 OCT 20,255.0,0.0,0.01,SPY201002P255,0.01,-.02,1,0.08%,99.92%,0.17%,0.0,0.0,0.0,1,448,0.005,0.0,117.58%,0.0
18,2 OCT 20,260.0,0.0,0.01,SPY201002P260,0.01,0,0,0.09%,99.91%,0.17%,0.0,0.0,0.0,0,"4,492",0.005,0.0,109.87%,0.0
19,2 OCT 20,265.0,0.0,0.01,SPY201002P265,0.04,-.02,29,0.09%,99.91%,0.18%,0.0,0.0,0.0,29,579,0.005,0.0,102.29%,0.0
20,2 OCT 20,270.0,0.0,0.01,SPY201002P270,0.01,0,0,0.10%,99.90%,0.19%,0.0,0.0,0.0,0,"46,709",0.005,0.0,94.82%,0.0
21,2 OCT 20,275.0,0.0,0.01,SPY201002P275,0.01,0,0,0.10%,99.90%,0.20%,0.0,0.0,0.0,0,"2,826",0.005,0.0,87.45%,0.0
22,2 OCT 20,280.0,0.0,0.01,SPY201002P280,0.01,0,0,0.11%,99.89%,0.22%,0.0,0.0,0.0,0,"4,122",0.005,0.0,80.18%,0.0
23,2 OCT 20,285.0,0.0,0.01,SPY201002P285,0.01,0,0,0.12%,99.88%,0.23%,0.0,0.0,0.0,0,"3,240",0.005,0.0,73.00%,0.0
24,2 OCT 20,286.0,0.0,0.01,SPY201002P286,0.03,-.08,29,0.12%,99.88%,0.24%,0.0,0.0,0.0,29,31,0.005,0.0,71.58%,0.0
25,2 OCT 20,287.0,0.0,0.01,SPY201002P287,0.03,-.05,51,0.12%,99.88%,0.24%,0.0,0.0,0.0,51,171,0.005,0.0,70.15%,0.0
26,2 OCT 20,288.0,0.0,0.01,SPY201002P288,0.01,0,0,0.12%,99.88%,0.24%,0.0,0.0,0.0,0,377,0.005,0.0,68.73%,0.0
27,2 OCT 20,289.0,0.0,0.01,SPY201002P289,0.01,0,0,0.13%,99.87%,0.25%,0.0,0.0,0.0,0,98,0.005,0.0,67.32%,0.0
28,2 OCT 20,290.0,0.0,0.01,SPY201002P290,0.01,0,4,0.13%,99.87%,0.25%,0.0,0.0,0.0,4,"22,938",0.005,0.0,65.90%,0.0
29,2 OCT 20,291.0,0.0,0.01,SPY201002P291,0.01,0,0,0.13%,99.87%,0.25%,0.0,0.0,0.0,0,504,0.005,0.0,64.49%,0.0
30,2 OCT 20,292.0,0.0,0.01,SPY201002P292,0.01,0,0,0.13%,99.87%,0.26%,0.0,0.0,0.0,0,111,0.005,0.0,63.08%,0.0
31,2 OCT 20,293.0,0.0,0.01,SPY201002P293,0.01,0,0,0.13%,99.87%,0.26%,0.0,0.0,0.0,0,89,0.005,0.0,61.68%,0.0
32,2 OCT 20,294.0,0.0,0.01,SPY201002P294,0.01,0,1,0.14%,99.86%,0.27%,0.0,0.0,0.0,1,467,0.005,0.0,60.28%,0.0
33,2 OCT 20,295.0,0.0,0.01,SPY201002P295,0.01,0,10,0.14%,99.86%,0.27%,0.0,0.0,0.0,10,"3,695",0.005,0.0,58.88%,0.0
34,2 OCT 20,296.0,0.0,0.01,SPY201002P296,0.01,0,0,0.14%,99.86%,0.28%,0.0,0.0,0.0,0,717,0.005,0.0,57.48%,0.0
35,2 OCT 20,297.0,0.0,0.01,SPY201002P297,0.02,0,0,0.14%,99.86%,0.28%,0.0,0.0,0.0,0,"1,980",0.005,0.0,56.08%,0.0
36,2 OCT 20,298.0,0.0,0.01,SPY201002P298,0.02,0,0,0.15%,99.85%,0.29%,0.0,0.0,0.0,0,"3,391",0.005,0.0,54.69%,0.0
37,2 OCT 20,299.0,0.0,0.01,SPY201002P299,0.01,-.01,1,0.15%,99.85%,0.30%,0.0,0.0,0.0,1,603,0.005,0.0,53.30%,0.0
38,2 OCT 20,300.0,0.0,0.01,SPY201002P300,0.01,-.01,8,0.15%,99.85%,0.30%,0.0,0.0,0.0,8,"39,819",0.005,0.0,51.91%,0.0
39,2 OCT 20,301.0,0.0,0.01,SPY201002P301,0.02,0,0,0.16%,99.84%,0.31%,0.0,0.0,0.0,0,"2,225",0.005,0.0,50.53%,0.0
40,2 OCT 20,302.0,0.0,0.01,SPY201002P302,0.02,0,0,0.16%,99.84%,0.32%,0.0,0.0,0.0,0,"2,459",0.005,0.0,49.14%,0.0
41,2 OCT 20,303.0,0.0,0.01,SPY201002P303,0.01,-.01,501,0.16%,99.84%,0.32%,0.0,0.0,0.0,501,"6,106",0.005,0.0,47.76%,0.0
42,2 OCT 20,304.0,0.0,0.01,SPY201002P304,0.01,-.02,421,0.17%,99.83%,0.33%,0.0,0.0,0.0,421,"7,588",0.005,0.0,46.38%,0.0
43,2 OCT 20,305.0,0.0,0.01,SPY201002P305,0.02,-.01,264,0.17%,99.83%,0.34%,0.0,0.0,0.0,264,"9,457",0.005,0.0,45.00%,0.0
44,2 OCT 20,306.0,0.0,0.01,SPY201002P306,0.01,-.02,27,0.18%,99.82%,0.35%,0.0,0.0,0.0,27,"1,658",0.005,0.0,43.62%,0.0
45,2 OCT 20,307.0,0.0,0.01,SPY201002P307,0.01,-.02,159,0.18%,99.82%,0.36%,0.0,0.0,0.0,159,"2,667",0.005,0.0,42.24%,0.0
46,2 OCT 20,308.0,0.0,0.01,SPY201002P308,0.01,-.03,257,0.19%,99.81%,0.37%,0.0,0.0,0.0,257,"1,790",0.005,0.0,40.87%,0.0
47,2 OCT 20,309.0,0.0,0.01,SPY201002P309,0.02,-.02,487,0.19%,99.81%,0.38%,0.0,0.0,0.0,487,"2,803",0.005,0.0,39.49%,0.0
48,2 OCT 20,310.0,0.0,0.01,SPY201002P310,0.01,-.04,"4,231",0.20%,99.80%,0.39%,0.0,0.0,0.0,"4,231","22,905",0.005,0.0,38.12%,0.0
49,2 OCT 20,311.0,0.0,0.01,SPY201002P311,0.01,-.05,"4,754",0.20%,99.80%,0.40%,0.0,0.0,0.0,"4,754","3,575",0.005,0.0,36.74%,0.0
50,2 OCT 20,312.0,0.0,0.01,SPY201002P312,0.04,-.02,258,0.21%,99.79%,0.41%,0.0,0.0,0.0,258,"9,906",0.005,0.0,35.37%,0.0
51,2 OCT 20,313.0,0.0,0.01,SPY201002P313,0.01,-.07,485,0.22%,99.78%,0.43%,0.0,0.0,0.0,485,"5,924",0.005,0.0,33.99%,0.0
52,2 OCT 20,314.0,0.01,0.02,SPY201002P314,0.01,-.06,"1,185",0.56%,99.44%,1.11%,0.0,-0.01,0.0,"1,185","3,922",0.015,0.0,36.54%,0.0
53,2 OCT 20,315.0,0.01,0.02,SPY201002P315,0.02,-.07,"1,178",0.59%,99.41%,1.15%,0.0,-0.02,0.0,"1,178","30,408",0.015,0.0,35.04%,0.0
54,2 OCT 20,316.0,0.01,0.02,SPY201002P316,0.01,-.10,430,0.61%,99.39%,1.20%,0.0,-0.02,0.0,430,"4,085",0.015,0.0,33.54%,0.0
55,2 OCT 20,317.0,0.01,0.02,SPY201002P317,0.01,-.12,536,0.64%,99.36%,1.25%,0.0,-0.02,0.0,536,"6,201",0.015,0.0,32.04%,0.0
56,2 OCT 20,318.0,0.01,0.02,SPY201002P318,0.02,-.14,"1,877",0.66%,99.34%,1.30%,0.0,-0.02,0.0,"1,877","6,729",0.015,0.0,30.53%,0.0
57,2 OCT 20,319.0,0.02,0.03,SPY201002P319,0.03,-.15,"2,239",1.02%,98.98%,2.00%,0.0,-0.02,0.01,"2,239","4,891",0.025,0.0,30.78%,0.0
58,2 OCT 20,320.0,0.02,0.03,SPY201002P320,0.03,-.21,"6,748",1.07%,98.93%,2.09%,0.0,-0.02,0.01,"6,748","31,813",0.025,0.0,29.19%,0.0
