Strike,BID,ASK,LAST,Delta,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theta,Vega,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,High,Mark,expire_days,target,dt_predict
305.0,4.65,4.72,4.78,-0.23,0.82,5712,26.16,73.84,50.79,-0.04,-0.25,0.23,64677,4.685,0.01,43.6,0.0,5.77,4.685,19,1,1
249.0,0.56,0.59,0.65,-0.03,0.17,19,4.02,95.98,7.82,-0.01,-0.08,0.05,1785,0.575,0.0,64.05,0.0,0.65,0.575,19,1,1
285.0,1.53,1.59,1.76,-0.09,0.52,147,10.99,89.01,21.44,-0.01,-0.18,0.11,260,1.56,0.0,51.53,0.0,1.94,1.56,15,1,1
300.0,4.0,4.11,4.35,-0.2,1.07,28,22.71,77.29,44.07,-0.04,-0.21,0.23,659,4.055,0.01,43.13,0.0,4.83,4.055,22,1,1
305.0,4.22,4.32,4.91,-0.22,1.33,13,25.14,74.86,48.87,-0.04,-0.27,0.22,996,4.27,0.01,44.05,0.0,5.2,4.27,17,1,1
285.0,2.14,2.21,2.38,-0.11,0.2,2,13.43,86.57,26.09,-0.02,-0.16,0.15,687,2.175,0.0,47.23,0.0,2.52,2.175,22,1,1
320.0,9.75,9.87,9.87,-0.39,1.14,1433,43.29,56.71,83.52,-0.11,-0.21,0.36,1005,9.81,0.01,35.44,0.0,11.88,9.81,29,1,1
295.0,3.01,3.07,3.03,-0.16,0.23,12626,18.34,81.66,35.64,-0.03,-0.21,0.18,146967,3.04,0.01,46.3,0.0,3.8,3.04,19,1,1
290.0,1.9,1.97,1.9,-0.11,0.38,551,13.33,86.67,26.0,-0.02,-0.2,0.13,13692,1.935,0.01,49.62,0.0,2.4,1.935,15,1,1
325.0,10.86,11.18,12.3,-0.45,3.33,12,48.93,51.07,94.48,-0.11,-0.24,0.34,106,11.02,0.01,35.56,0.0,13.06,11.02,24,1,1
320.0,1.25,1.26,1.25,-0.22,-0.02,68693,23.05,76.95,45.71,0.0,-0.75,0.07,26059,1.255,0.03,40.1,0.0,2.65,1.255,1,1,1
295.0,2.69,2.78,3.1,-0.15,1.04,309,17.34,82.66,33.75,-0.03,-0.22,0.17,497,2.735,0.01,47.02,0.0,3.37,2.735,17,1,1
