LAST,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theta,Vega,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,BID,ASK,Strike,expire_days,expire_price,target,dt_predict,rf_predict,kn_predict
1.34,0.77,86,19.93,80.07,40.35,0.03,-0.1,0.21,2566,1.18,0.03,14.27,0.0,1.17,1.19,375.0,13,369.8,0,0,0,0
4.8,2.25,201,37.75,62.25,81.52,0.11,-0.09,0.4,7062,4.55,0.02,15.87,0.0,4.53,4.57,370.0,29,373.1,0,1,0,0
0.72,0.17,102,11.41,88.59,24.12,0.03,-0.05,0.19,61,0.815,0.01,14.72,0.0,0.8,0.83,382.0,23,369.03,0,0,0,0
4.72,1.87,582,42.24,57.76,91.05,0.08,-0.12,0.35,799,4.795,0.03,17.1,0.0,4.78,4.81,368.0,20,378.46,1,1,0,1
1.87,0.99,6,19.99,80.01,42.62,0.06,-0.07,0.3,207,1.815,0.02,14.68,0.0,1.8,1.83,378.0,29,373.1,0,0,0,0
3.71,1.58,15,32.97,67.03,70.97,0.1,-0.09,0.39,33,3.675,0.02,15.46,0.0,3.65,3.7,372.0,29,373.1,0,0,0,0
3.72,1.53,518,43.67,56.33,88.79,0.06,-0.16,0.28,1795,3.655,0.04,15.36,0.0,3.64,3.67,368.0,13,369.8,0,1,0,0
2.82,1.46,81,29.28,70.72,62.78,0.07,-0.09,0.33,770,2.805,0.02,15.54,0.0,2.79,2.82,373.0,23,369.03,0,0,0,1
0.89,0.26,26,10.8,89.2,22.82,0.03,-0.04,0.21,10,0.84,0.01,14.42,0.0,0.83,0.85,384.0,29,373.1,0,0,0,0
1.31,0.74,5016,29.81,70.19,60.72,0.02,-0.17,0.18,2497,1.345,0.05,13.77,0.0,1.34,1.35,370.0,6,369.62,0,1,0,1
2.17,1.11,91,24.4,75.6,52.19,0.06,-0.09,0.3,833,2.165,0.02,15.56,0.0,2.15,2.18,375.0,22,369.62,0,0,0,0
5.27,2.36,15,40.12,59.88,86.78,0.11,-0.09,0.41,34,5.015,0.02,16.04,0.0,4.99,5.04,369.0,29,373.1,0,0,0,0
5.06,2.26,157,42.24,57.76,91.35,0.09,-0.11,0.37,1417,4.99,0.03,16.62,0.0,4.97,5.01,368.0,23,369.03,0,1,0,1
1.06,0.64,160,15.9,84.1,32.17,0.03,-0.09,0.19,462,1.015,0.02,15.14,0.0,1.01,1.02,378.0,15,371.16,0,1,0,1
0.78,-0.01,100,12.29,87.71,26.07,0.04,-0.05,0.22,9,0.935,0.01,14.26,0.0,0.92,0.95,382.0,27,372.59,0,0,0,0
0.75,0.36,69,9.69,90.31,20.46,0.03,-0.04,0.19,689,0.74,0.01,14.43,0.0,0.73,0.75,385.0,29,373.1,0,0,0,0
1.94,0.89,55,29.3,70.7,59.41,0.04,-0.13,0.25,633,1.99,0.03,14.59,0.0,1.98,2.0,372.0,13,369.8,0,0,0,0
2.8,1.17,2624,31.12,68.88,66.29,0.05,-0.12,0.29,9069,2.84,0.03,16.79,0.0,2.83,2.85,372.0,17,371.15,0,1,0,0
4.57,1.61,2363,42.32,57.68,90.74,0.07,-0.14,0.32,55845,4.605,0.03,17.71,0.0,4.59,4.62,368.0,17,371.15,0,1,0,1
