LAST,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theta,Vega,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,BID,ASK,Strike,expire_days,expire_price,target
9.15,0.83,113,48.39,51.61,99.45,0.01,-2.67,0.1,25,9.04,0.02,91.66,0.0,9.0,9.08,337.0,1,332.36,0
8.48,1.6,31,46.64,53.36,95.78,0.01,-2.64,0.1,84,8.46,0.02,90.6,0.0,8.42,8.5,338.0,1,332.36,0
7.67,0.17,7,44.86,55.14,92.06,0.01,-2.6,0.1,4,7.905,0.02,89.62,0.0,7.86,7.95,339.0,1,332.36,0
7.49,1.57,245,43.07,56.93,88.3,0.01,-2.56,0.1,221,7.37,0.02,88.66,0.0,7.33,7.41,340.0,1,332.36,0
6.33,0.0,8,41.25,58.75,84.5,0.01,-2.5,0.1,0,6.85,0.02,87.66,0.0,6.81,6.89,341.0,1,332.36,0
6.01,0.97,23,39.41,60.59,80.68,0.01,-2.44,0.1,17,6.35,0.02,86.67,0.0,6.31,6.39,342.0,1,332.36,0
5.83,0.82,2,37.57,62.43,76.85,0.01,-2.38,0.1,4,5.875,0.02,85.74,0.0,5.84,5.91,343.0,1,332.36,0
5.46,0.17,10,35.72,64.28,73.01,0.01,-2.31,0.09,14,5.42,0.02,84.82,0.0,5.38,5.46,344.0,1,332.36,0
5.1,0.69,42,33.87,66.13,69.19,0.01,-2.23,0.09,295,4.99,0.02,83.95,0.0,4.95,5.03,345.0,1,332.36,0
4.51,0.85,38,32.05,67.95,65.42,0.01,-2.15,0.09,36,4.585,0.02,83.13,0.0,4.55,4.62,346.0,1,332.36,0
4.16,1.05,128,30.22,69.78,61.65,0.01,-2.06,0.09,12,4.195,0.02,82.26,0.0,4.16,4.23,347.0,1,332.36,0
3.69,-0.31,6,28.44,71.56,57.99,0.01,-1.97,0.09,30,3.84,0.02,81.56,0.0,3.81,3.87,348.0,1,332.36,0
3.46,0.0,14,26.7,73.3,54.4,0.01,-1.87,0.08,0,3.505,0.02,80.88,0.0,3.47,3.54,349.0,1,332.36,0
3.23,0.38,108,24.99,75.01,50.88,0.0,-1.78,0.08,202,3.19,0.02,80.2,0.0,3.16,3.22,350.0,1,332.36,0
3.03,0.89,3,23.33,76.67,47.49,0.0,-1.68,0.08,13,2.9,0.02,79.6,0.0,2.87,2.93,351.0,1,332.36,0
2.47,0.57,17,21.72,78.28,44.2,0.0,-1.58,0.08,71,2.63,0.02,79.03,0.0,2.6,2.66,352.0,1,332.36,0
2.45,0.59,1,20.2,79.8,41.07,0.0,-1.49,0.07,1,2.385,0.02,78.56,0.0,2.36,2.41,353.0,1,332.36,0
2.11,-0.04,3,18.71,81.29,38.03,0.0,-1.39,0.07,8,2.155,0.01,78.06,0.0,2.13,2.18,354.0,1,332.36,0
1.81,0.41,33,17.34,82.66,35.24,0.0,-1.3,0.07,149,1.955,0.01,77.77,0.0,1.93,1.98,355.0,1,332.36,0
1.83,0.56,1,16.02,83.98,32.53,0.0,-1.21,0.06,14,1.765,0.01,77.42,0.0,1.74,1.79,356.0,1,332.36,0
1.59,0.0,7,14.78,85.22,30.0,0.0,-1.12,0.06,0,1.595,0.01,77.16,0.0,1.57,1.62,357.0,1,332.36,0
1.5,0.08,2,13.61,86.39,27.62,0.0,-1.04,0.06,9,1.44,0.01,76.94,0.0,1.42,1.46,358.0,1,332.36,0
1.19,0.32,120,11.54,88.46,23.41,0.0,-0.89,0.05,51,1.18,0.01,76.78,0.0,1.16,1.2,360.0,1,332.36,0
0.77,0.01,4,8.23,91.77,16.67,0.0,-0.65,0.04,8,0.795,0.01,76.94,0.0,0.78,0.81,364.0,1,332.36,0
0.74,0.2,170,7.58,92.42,15.35,0.0,-0.6,0.04,40,0.725,0.01,77.16,0.0,0.71,0.74,365.0,1,332.36,0
0.54,0.0,1,6.4,93.6,12.96,0.0,-0.51,0.03,0,0.6,0.01,77.56,0.0,0.58,0.62,367.0,1,332.36,0
0.54,0.0,4,5.9,94.1,11.96,0.0,-0.47,0.03,0,0.55,0.01,77.91,0.0,0.53,0.57,368.0,1,332.36,0
