Strike,BID,ASK,LAST,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theta,Vega,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,expire_days,expire_price,target,dt_predict,rf_predict,kn_predict
315.0,4.23,4.35,4.15,-0.74,13,25.3,74.7,49.24,-0.01,-1.22,0.11,36,4.29,0.01,89.98,0.0,3,339.59,0,0,0,0
332.0,7.37,7.45,7.63,-1.1,71,43.47,56.53,84.7,-0.01,-2.74,0.1,118,7.41,0.02,97.68,0.0,1,327.24,0,0,0,0
322.0,6.37,6.48,6.25,-0.5,2,33.45,66.55,64.91,-0.02,-0.96,0.15,97,6.425,0.01,74.07,0.0,5,347.65,0,0,0,0
220.0,0.21,0.22,0.21,-0.04,79,1.54,98.46,2.99,0.0,-0.04,0.02,15615,0.215,0.0,80.8,0.0,19,355.25,0,0,0,0
150.0,0.02,0.03,0.03,0.0,30,0.23,99.77,0.44,0.0,-0.01,0.0,104941,0.025,0.0,116.22,0.0,19,355.25,0,0,0,0
230.0,0.13,0.17,0.15,-0.03,2,1.21,98.79,2.36,0.0,-0.08,0.01,3001,0.15,0.0,127.54,0.0,5,347.65,0,0,0,0
314.0,6.4,6.46,6.47,-0.05,268,29.43,70.57,56.82,-0.05,-0.32,0.25,4012,6.43,0.01,50.09,0.0,19,355.25,0,0,0,0
250.0,0.56,0.58,0.58,0.0,195,3.76,96.24,7.3,-0.01,-0.08,0.05,20386,0.57,0.0,68.54,0.0,19,355.25,0,0,0,0
160.0,0.03,0.04,0.03,0.0,803,0.3,99.7,0.58,0.0,-0.01,0.0,5067,0.035,0.0,110.6,0.0,19,355.25,0,0,0,0
332.0,10.41,10.56,10.49,0.0,1,45.87,54.13,88.58,-0.05,-0.49,0.25,0,10.485,0.01,50.73,0.0,12,354.71,0,0,0,0
268.0,1.09,1.11,1.13,0.09,1,6.77,93.23,13.12,-0.01,-0.13,0.08,2159,1.1,0.0,62.38,0.0,19,355.25,0,0,0,0
329.0,9.42,9.56,9.61,0.0,2,42.43,57.57,81.97,-0.05,-0.5,0.24,0,9.49,0.01,52.07,0.0,12,354.71,0,0,0,0
242.0,0.43,0.44,0.42,-0.06,3,2.94,97.06,5.7,0.0,-0.07,0.04,3333,0.435,0.0,71.62,0.0,19,355.25,0,0,0,0
275.0,1.1,1.17,1.19,0.0,39,7.31,92.69,14.2,-0.01,-0.19,0.07,0,1.135,0.0,70.75,0.0,12,354.71,0,0,0,0
303.0,4.33,4.38,4.42,-0.34,224,21.5,78.5,41.57,-0.04,-0.28,0.21,4969,4.355,0.01,53.16,0.0,19,355.25,0,0,0,0
255.0,0.67,0.68,0.7,0.05,6,4.39,95.61,8.51,-0.01,-0.09,0.06,12429,0.675,0.0,66.63,0.0,19,355.25,0,0,0,0
207.0,0.13,0.14,0.19,-0.1,1,1.02,98.98,1.97,0.0,-0.03,0.01,661,0.135,0.0,85.95,0.0,19,355.25,0,0,0,0
323.0,8.61,8.67,8.58,-0.86,1228,37.26,62.74,71.85,-0.06,-0.34,0.29,3841,8.64,0.01,47.2,0.0,19,355.25,0,0,0,0
254.0,0.65,0.66,0.67,0.05,1,4.27,95.73,8.28,-0.01,-0.09,0.05,3373,0.655,0.0,67.06,0.0,19,355.25,0,0,0,0
185.0,0.03,0.05,0.04,0.0,15,0.35,99.65,0.68,0.0,-0.03,0.0,0,0.04,0.0,166.81,0.0,5,347.65,0,0,0,0
203.0,0.12,0.13,0.2,-0.11,2,0.94,99.06,1.82,0.0,-0.02,0.01,1802,0.125,0.0,88.28,0.0,19,355.25,0,0,0,0
294.0,3.07,3.12,3.18,-0.21,46,16.26,83.74,31.48,-0.03,-0.23,0.17,4143,3.095,0.0,55.45,0.0,19,355.25,0,0,0,0
305.0,3.16,3.25,3.15,-0.48,88,18.9,81.1,36.75,-0.01,-0.73,0.11,318,3.205,0.01,82.9,0.0,5,347.65,0,0,0,0
251.0,0.58,0.6,0.61,0.02,2,3.88,96.12,7.53,-0.01,-0.08,0.05,2643,0.59,0.0,68.17,0.0,19,355.25,0,0,0,0
218.0,0.19,0.21,0.19,-0.01,30,1.45,98.55,2.8,0.0,-0.04,0.02,1721,0.2,0.0,81.57,0.0,19,355.25,0,0,0,0
232.0,0.31,0.32,0.39,-0.04,50,2.19,97.81,4.24,0.0,-0.05,0.03,2044,0.315,0.0,75.71,0.0,19,355.25,0,0,0,0
324.0,6.88,6.99,7.05,-0.45,2,35.58,64.42,69.02,-0.02,-0.97,0.15,94,6.935,0.01,72.88,0.0,5,347.65,0,0,0,0
300.0,1.57,1.61,1.65,0.03,28,11.9,88.1,23.26,0.0,-1.23,0.04,564,1.59,0.01,127.56,0.0,1,327.24,0,0,0,0
293.0,2.95,2.99,3.0,-0.07,25,15.73,84.27,30.45,-0.03,-0.23,0.17,5048,2.97,0.0,55.66,0.0,19,355.25,0,0,0,0
