Strike,BID,ASK,LAST,Delta,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theta,Vega,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,High,Mark,expire_days,expire_price,target
365.0,0.68,0.69,0.68,-0.29,-2.37,68513,29.84,70.16,57.49,-0.01,-0.37,0.09,1400,0.685,0.09,13.49,0.0,1.62,0.685,1,364.2,LOSS
366.0,0.96,0.97,0.96,-0.39,-2.9,50556,39.42,60.58,75.51,-0.01,-0.42,0.1,239,0.965,0.11,12.84,0.0,2.13,0.965,1,364.2,LOSS
367.0,1.34,1.35,1.36,-0.5,-3.12,26703,50.77,49.23,96.49,-0.01,-0.44,0.11,160,1.345,0.12,12.19,0.0,2.79,1.345,1,364.2,LOSS
360.0,0.59,0.6,0.59,-0.16,-1.09,17112,16.26,83.74,32.01,-0.01,-0.22,0.09,33481,0.595,0.03,18.55,0.0,1.0,0.595,3,367.22,WIN
361.0,0.71,0.72,0.72,-0.19,-1.21,2221,19.25,80.75,37.86,-0.01,-0.24,0.1,7726,0.715,0.04,17.96,0.0,1.2,0.715,3,367.22,WIN
362.0,0.86,0.87,0.87,-0.22,-1.49,4777,22.81,77.19,44.82,-0.01,-0.26,0.11,7264,0.865,0.04,17.41,0.0,1.44,0.865,3,367.22,WIN
363.0,1.05,1.06,1.06,-0.26,-1.74,4878,27.05,72.95,53.08,-0.01,-0.29,0.13,6570,1.055,0.05,16.92,0.0,1.73,1.055,3,367.22,WIN
364.0,1.28,1.29,1.28,-0.31,-1.9,7947,31.91,68.09,62.54,-0.01,-0.31,0.14,2883,1.285,0.06,16.43,0.0,2.07,1.285,3,367.22,WIN
365.0,1.56,1.57,1.56,-0.37,-2.26,15432,37.44,62.56,73.25,-0.01,-0.32,0.14,2444,1.565,0.06,15.96,0.0,2.5,1.565,3,367.22,WIN
366.0,1.9,1.91,1.9,-0.43,-2.48,14460,43.59,56.41,85.12,-0.02,-0.33,0.15,296,1.905,0.07,15.53,0.0,2.99,1.905,3,367.22,WIN
367.0,2.31,2.32,2.31,-0.5,-2.87,7166,50.26,49.74,97.92,-0.02,-0.33,0.15,192,2.315,0.07,15.14,0.0,3.48,2.315,3,367.22,WIN
357.0,0.57,0.58,0.58,-0.13,-0.76,607,13.2,86.8,26.06,-0.01,-0.13,0.11,6914,0.575,0.02,17.72,0.0,0.87,0.575,6,367.72,WIN
358.0,0.66,0.67,0.68,-0.15,-0.86,755,15.14,84.86,29.87,-0.01,-0.14,0.12,978,0.665,0.03,17.26,0.0,0.93,0.665,6,367.72,WIN
359.0,0.77,0.78,0.77,-0.17,-1.0,1051,17.42,82.58,34.35,-0.01,-0.16,0.13,1272,0.775,0.03,16.83,0.0,1.14,0.775,6,367.72,WIN
360.0,0.9,0.91,0.9,-0.19,-1.17,4411,20.04,79.96,39.5,-0.01,-0.17,0.14,4899,0.905,0.03,16.4,0.0,1.35,0.905,6,367.72,WIN
361.0,1.05,1.07,1.06,-0.22,-1.3,327,23.06,76.94,45.4,-0.02,-0.18,0.15,1157,1.06,0.04,15.99,0.0,1.55,1.06,6,367.72,WIN
362.0,1.24,1.25,1.26,-0.26,-1.49,1110,26.5,73.5,52.13,-0.02,-0.19,0.16,1969,1.245,0.04,15.59,0.0,1.83,1.245,6,367.72,WIN
363.0,1.45,1.46,1.51,-0.3,-1.64,1381,30.32,69.68,59.6,-0.02,-0.2,0.18,1100,1.455,0.04,15.16,0.0,2.13,1.455,6,367.72,WIN
364.0,1.7,1.71,1.75,-0.34,-1.99,454,34.63,65.37,68.01,-0.02,-0.21,0.19,640,1.705,0.05,14.75,0.0,2.49,1.705,6,367.72,WIN
365.0,2.0,2.01,2.01,-0.39,-2.23,2388,39.43,60.57,77.34,-0.03,-0.21,0.19,821,2.005,0.05,14.38,0.0,2.9,2.005,6,367.72,WIN
366.0,2.35,2.36,2.35,-0.44,-3.23,1773,44.65,55.35,87.47,-0.03,-0.22,0.2,164,2.355,0.06,14.02,0.0,3.25,2.355,6,367.72,WIN
367.0,2.75,2.77,2.76,-0.49,-2.7,2576,50.23,49.77,98.25,-0.04,-0.22,0.2,185,2.76,0.06,13.68,0.0,3.89,2.76,6,367.72,WIN
352.0,0.54,0.55,0.55,-0.1,-0.79,229,10.17,89.83,20.09,-0.01,-0.11,0.1,622,0.545,0.01,20.7,0.0,0.67,0.545,8,365.95,WIN
353.0,0.6,0.61,0.61,-0.11,-0.55,138,11.26,88.74,22.26,-0.01,-0.12,0.11,598,0.605,0.02,20.24,0.0,0.8,0.605,8,365.95,WIN
354.0,0.67,0.68,0.7,-0.12,-0.68,43,12.52,87.48,24.74,-0.01,-0.13,0.11,418,0.675,0.02,19.8,0.0,0.89,0.675,8,365.95,WIN
355.0,0.75,0.76,0.79,-0.13,-0.69,3449,13.93,86.07,27.52,-0.01,-0.13,0.12,652,0.755,0.02,19.36,0.0,0.98,0.755,8,365.95,WIN
356.0,0.84,0.86,0.88,-0.15,-0.76,173,15.56,84.44,30.73,-0.01,-0.14,0.13,397,0.85,0.02,18.95,0.0,1.09,0.85,8,365.95,WIN
357.0,0.95,0.97,0.96,-0.17,-0.91,781,17.4,82.6,34.35,-0.02,-0.15,0.14,1713,0.96,0.02,18.56,0.0,1.23,0.96,8,365.95,WIN
358.0,1.07,1.09,1.1,-0.19,-0.96,710,19.41,80.59,38.31,-0.02,-0.16,0.15,1128,1.08,0.03,18.13,0.0,1.4,1.08,8,365.95,WIN
359.0,1.21,1.23,1.22,-0.21,-1.27,273,21.68,78.32,42.76,-0.02,-0.17,0.17,1277,1.22,0.03,17.72,0.0,1.59,1.22,8,365.95,WIN
360.0,1.37,1.38,1.4,-0.23,-1.18,726,24.16,75.84,47.65,-0.02,-0.17,0.18,1571,1.375,0.03,17.29,0.0,1.87,1.375,8,365.95,WIN
361.0,1.55,1.57,1.58,-0.26,-1.48,526,26.99,73.01,53.19,-0.02,-0.18,0.19,1084,1.56,0.03,16.9,0.0,2.03,1.56,8,365.95,WIN
362.0,1.75,1.77,1.8,-0.29,-1.55,732,30.04,69.96,59.18,-0.03,-0.19,0.2,1369,1.76,0.04,16.46,0.0,2.4,1.76,8,365.95,WIN
363.0,1.99,2.01,2.0,-0.33,-1.71,1562,33.47,66.53,65.89,-0.03,-0.19,0.21,1505,2.0,0.04,16.08,0.0,2.71,2.0,8,365.95,WIN
364.0,2.27,2.29,2.37,-0.36,-1.81,449,37.24,62.76,73.27,-0.03,-0.2,0.22,669,2.28,0.04,15.73,0.0,3.06,2.28,8,365.95,WIN
365.0,2.58,2.6,2.67,-0.4,-1.96,5260,41.28,58.72,81.16,-0.04,-0.2,0.22,586,2.59,0.04,15.36,0.0,3.45,2.59,8,365.95,WIN
366.0,2.94,2.96,2.96,-0.45,-2.98,732,45.63,54.37,89.63,-0.04,-0.2,0.23,144,2.95,0.05,15.03,0.0,3.95,2.95,8,365.95,WIN
367.0,3.35,3.37,3.34,-0.49,-3.41,1514,50.23,49.77,98.56,-0.05,-0.2,0.23,41,3.36,0.05,14.73,0.0,4.11,3.36,8,365.95,WIN
347.0,0.53,0.54,0.55,-0.08,-0.51,331,8.48,91.52,16.76,-0.01,-0.1,0.09,3724,0.535,0.01,23.25,0.0,0.63,0.535,10,363.26,WIN
347.5,0.56,0.57,0.59,-0.08,-0.5,49,8.91,91.09,17.61,-0.01,-0.1,0.1,592,0.565,0.01,23.11,0.0,0.67,0.565,10,363.26,WIN
348.0,0.58,0.59,0.6,-0.09,-0.66,101,9.25,90.75,18.27,-0.01,-0.1,0.1,2276,0.585,0.01,22.85,0.0,0.72,0.585,10,363.26,WIN
349.0,0.64,0.65,0.66,-0.09,-0.46,353,10.14,89.86,20.03,-0.01,-0.11,0.11,984,0.645,0.01,22.49,0.0,0.81,0.645,10,363.26,WIN
350.0,0.7,0.71,0.71,-0.1,-0.54,5029,11.05,88.95,21.84,-0.01,-0.11,0.11,53165,0.705,0.01,22.08,0.0,0.9,0.705,10,363.26,WIN
351.0,0.76,0.77,0.8,-0.11,-0.55,569,12.0,88.0,23.71,-0.01,-0.12,0.12,6789,0.765,0.01,21.61,0.0,0.95,0.765,10,363.26,WIN
352.0,0.84,0.85,0.85,-0.12,-0.64,123,13.17,86.83,26.01,-0.01,-0.13,0.13,1646,0.845,0.02,21.25,0.0,1.06,0.845,10,363.26,WIN
352.5,0.87,0.89,0.95,-0.13,-0.57,51,13.72,86.28,27.11,-0.01,-0.13,0.13,903,0.88,0.02,21.01,0.0,1.1,0.88,10,363.26,WIN
353.0,0.92,0.93,0.93,-0.14,-0.72,312,14.37,85.63,28.39,-0.02,-0.13,0.14,8253,0.925,0.02,20.82,0.0,1.14,0.925,10,363.26,WIN
354.0,1.01,1.02,1.04,-0.15,-0.74,466,15.71,84.29,31.02,-0.02,-0.14,0.15,3472,1.015,0.02,20.4,0.0,1.25,1.015,10,363.26,WIN
355.0,1.11,1.13,1.12,-0.16,-0.8,955,17.22,82.78,34.0,-0.02,-0.14,0.16,4741,1.12,0.02,20.01,0.0,1.45,1.12,10,363.26,WIN
356.0,1.23,1.24,1.23,-0.18,-1.0,846,18.86,81.14,37.24,-0.02,-0.15,0.17,906,1.235,0.02,19.61,0.0,1.59,1.235,10,363.26,WIN
357.0,1.36,1.37,1.36,-0.2,-0.98,816,20.68,79.32,40.81,-0.02,-0.16,0.18,2199,1.365,0.02,19.22,0.0,1.74,1.365,10,363.26,WIN
358.0,1.5,1.52,1.54,-0.22,-1.07,946,22.67,77.33,44.73,-0.02,-0.16,0.19,1261,1.51,0.02,18.82,0.0,1.9,1.51,10,363.26,WIN
359.0,1.66,1.67,1.68,-0.24,-1.28,620,24.8,75.2,48.94,-0.03,-0.17,0.2,1644,1.665,0.03,18.39,0.0,2.06,1.665,10,363.26,WIN
