Option Code,LAST,LX,Delta,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theo Price,Theta,Vega,Volume,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,High,Mark,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,LAST,LX,Delta,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theo Price,Theta,Vega,Volume,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,High,Mark,,
SPY201202C165,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0032,.00,--,202.1582,<empty>,202.155,201.98,A,202.33,C,2 DEC 20,165,0,B,.01,W,SPY201202P165,.01,N,.00,-.02,1,0.05%,99.95%,0.10%,.00,0,.00,.00,1,37,.005,.00,317.91%,0,<empty>,.005,,
SPY201202C170,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0182,.00,--,197.1582,<empty>,197.140,196.96,Z,197.32,A,2 DEC 20,170,0,B,.01,W,SPY201202P170,.10,A,.00,<empty>,4,0.05%,99.95%,0.10%,.00,0,.00,.00,4,3,.005,.00,306.52%,0,<empty>,.005,,
SPY201202C175,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0182,.00,--,192.1582,<empty>,192.140,191.96,Z,192.32,A,2 DEC 20,175,0,B,.01,W,SPY201202P175,0, ,.00,0,<empty>,0.05%,99.95%,0.10%,.00,0,.00,.00,<empty>,3,.005,.00,295.46%,0,<empty>,.005,,
SPY201202C180,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0182,.00,--,187.1582,<empty>,187.140,186.96,Z,187.32,A,2 DEC 20,180,0,B,.01,W,SPY201202P180,.06,M,.00,-.05,9,0.05%,99.95%,0.10%,.00,0,.00,.00,9,11,.005,.00,284.71%,0,<empty>,.005,,
SPY201202C185,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0182,.00,--,182.1582,<empty>,182.140,181.96,Z,182.32,A,2 DEC 20,185,0,B,.01,W,SPY201202P185,.01,C,.00,0,400,0.05%,99.95%,0.10%,.00,0,.00,.00,400,401,.005,.00,274.24%,0,<empty>,.005,,
SPY201202C190,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0032,.00,--,177.1582,<empty>,177.155,176.98,A,177.33,C,2 DEC 20,190,0,B,.01,W,SPY201202P190,.02,C,.00,-.14,7,0.05%,99.95%,0.10%,.00,0,.00,.00,7,5,.005,.00,264.05%,0,<empty>,.005,,
SPY201202C195,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0182,.00,--,172.1582,<empty>,172.140,171.96,Z,172.32,A,2 DEC 20,195,0,B,.01,W,SPY201202P195,.04,P,.00,-.15,2,0.05%,99.95%,0.11%,.00,0,.00,.00,2,1,.005,.00,254.12%,0,<empty>,.005,,
SPY201202C200,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0182,.00,--,167.1582,<empty>,167.140,166.96,Z,167.32,A,2 DEC 20,200,0,B,.01,W,SPY201202P200,.01,I,.00,0,2,0.05%,99.95%,0.11%,.00,0,.00,.00,2,448,.005,.00,244.42%,0,<empty>,.005,,
SPY201202C205,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0182,.00,--,162.1582,<empty>,162.140,161.96,Z,162.32,A,2 DEC 20,205,0,B,.01,W,SPY201202P205,.03,E,.00,+.01,2,0.06%,99.94%,0.11%,.00,0,.00,.00,2,166,.005,.00,234.97%,0,<empty>,.005,,
SPY201202C210,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0182,.00,--,157.1582,<empty>,157.140,156.96,Z,157.32,A,2 DEC 20,210,0,B,.01,W,SPY201202P210,.02,C,.00,-.03,6,0.06%,99.94%,0.11%,.00,0,.00,.00,6,69,.005,.00,225.73%,0,<empty>,.005,,
SPY201202C215,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0032,.00,--,152.1582,<empty>,152.155,151.98,A,152.33,C,2 DEC 20,215,0,B,.01,W,SPY201202P215,.01,P,.00,-.02,20,0.06%,99.94%,0.11%,.00,0,.00,.00,20,352,.005,.00,216.69%,0,<empty>,.005,,
SPY201202C220,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0182,.00,--,147.1582,<empty>,147.140,146.96,Z,147.32,A,2 DEC 20,220,0,B,.01,W,SPY201202P220,.01,W,.00,-.01,80,0.06%,99.94%,0.11%,.00,0,.00,.00,80,440,.005,.00,207.86%,0,<empty>,.005,,
SPY201202C225,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0182,.00,--,142.1582,<empty>,142.140,141.96,Z,142.32,A,2 DEC 20,225,0,B,.01,W,SPY201202P225,.02,M,.00,+.01,1,0.06%,99.94%,0.12%,.00,0,.00,.00,1,41,.005,.00,199.21%,0,<empty>,.005,,
SPY201202C230,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0182,.00,--,137.1582,<empty>,137.140,136.96,Z,137.32,A,2 DEC 20,230,0,B,.01,W,SPY201202P230,.02,E,.00,0,"1,940",0.06%,99.94%,0.12%,.00,0,.00,.00,"1,940","2,521",.005,.00,190.75%,0,<empty>,.005,,
SPY201202C235,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0182,.00,--,132.1582,<empty>,132.140,131.96,Z,132.32,A,2 DEC 20,235,0,B,.01,W,SPY201202P235,.02,I,.00,0,5,0.06%,99.94%,0.12%,.00,0,.00,.00,5,208,.005,.00,182.45%,0,<empty>,.005,,
SPY201202C240,0, ,.91,0,<empty>,92.80%,7.20%,13.62%,.00,0,.00,.03,<empty>,0,.0018,.00,359.96%,127.1582,<empty>,127.160,126.99,Q,127.33,Q,2 DEC 20,240,0,B,.01,W,SPY201202P240,.01,W,.00,-.01,2,0.06%,99.94%,0.12%,.00,0,.00,.00,2,64,.005,.00,174.31%,0,<empty>,.005,,
SPY201202C245,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0182,.00,--,122.1582,<empty>,122.140,121.97,Q,122.31,Q,2 DEC 20,245,0,B,.01,W,SPY201202P245,.01,A,.00,0,300,0.06%,99.94%,0.13%,.00,0,.00,.00,300,448,.005,.00,166.33%,0,<empty>,.005,,
SPY201202C250,97.81,Z,1.00,+10.88,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,0,-.0182,.00,--,117.1582,<empty>,117.140,116.97,Q,117.31,Q,2 DEC 20,250,0,B,.01,W,SPY201202P250,.01,E,.00,-.02,3,0.07%,99.93%,0.13%,.00,0,.00,.00,3,980,.005,.00,158.49%,0,<empty>,.005,,
SPY201202C255,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0182,.00,--,112.1582,<empty>,112.140,111.97,Q,112.31,Q,2 DEC 20,255,0,B,.01,W,SPY201202P255,.01,C,.00,-.02,740,0.07%,99.93%,0.13%,.00,0,.00,.00,740,553,.005,.00,150.80%,0,<empty>,.005,,
SPY201202C260,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0132,.00,--,107.1582,<empty>,107.145,106.98,Q,107.31,Q,2 DEC 20,260,0,B,.01,W,SPY201202P260,.01,A,.00,0,0,0.07%,99.93%,0.14%,.00,0,.00,.00,0,592,.005,.00,143.24%,0,<empty>,.005,,
SPY201202C265,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0182,.00,--,102.1582,<empty>,102.140,101.97,Q,102.31,Q,2 DEC 20,265,0,B,.01,W,SPY201202P265,.01,H,.00,-.03,2,0.07%,99.93%,0.14%,.00,0,.00,.00,2,134,.005,.00,135.80%,0,<empty>,.005,,
SPY201202C270,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0182,.00,--,97.1582,<empty>,97.140,96.97,Q,97.31,Q,2 DEC 20,270,0,B,.01,W,SPY201202P270,.02,C,.00,-.03,31,0.07%,99.93%,0.15%,.00,0,.00,.00,31,223,.005,.00,128.49%,0,<empty>,.005,,
SPY201202C275,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0232,.00,--,92.1582,<empty>,92.135,91.97,Q,92.30,Q,2 DEC 20,275,0,B,.01,W,SPY201202P275,.01,E,.00,0,0,0.08%,99.92%,0.15%,.00,0,.00,.00,0,737,.005,.00,121.29%,0,<empty>,.005,,
SPY201202C280,81.73,M,1.00,+35.40,3,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,3,3,-.0132,.00,--,87.1582,<empty>,87.145,86.98,Q,87.31,Q,2 DEC 20,280,0,B,.01,W,SPY201202P280,.01,Q,.00,0,0,0.08%,99.92%,0.16%,.00,0,.00,.00,0,"1,612",.005,.00,114.20%,0,<empty>,.005,,
SPY201202C285,67.39,I,1.00,<empty>,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,1,-.0132,.00,--,82.1582,<empty>,82.145,81.98,Q,82.31,Q,2 DEC 20,285,0,B,.01,W,SPY201202P285,.01,C,.00,0,0,0.08%,99.92%,0.16%,.00,0,.00,.00,0,"1,566",.005,.00,107.21%,0,<empty>,.005,,
SPY201202C290,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0132,.00,--,77.1582,<empty>,77.145,76.98,Q,77.31,Q,2 DEC 20,290,0,B,.01,W,SPY201202P290,.01,I,.00,0,0,0.09%,99.91%,0.17%,.00,0,.00,.00,0,523,.005,.00,100.33%,0,<empty>,.005,,
SPY201202C295,61.37,A,1.00,+3.84,4,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,4,5,-.0132,.00,--,72.1582,<empty>,72.145,71.98,Q,72.31,Q,2 DEC 20,295,0,B,.01,W,SPY201202P295,.01,I,.00,0,0,0.09%,99.91%,0.18%,.00,0,.00,.00,0,899,.005,.00,93.53%,0,<empty>,.005,,
SPY201202C300,62.63,M,1.00,+4.15,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,15,-.0132,.00,--,67.1582,<empty>,67.145,67.10,I,67.19,I,2 DEC 20,300,0,I,.01,W,SPY201202P300,.01,I,.00,0,0,0.10%,99.90%,0.19%,.00,0,.00,.00,0,"4,019",.005,.00,86.82%,0,<empty>,.005,,
SPY201202C301,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0132,.00,--,66.1582,<empty>,66.145,66.10,I,66.19,I,2 DEC 20,301,0,Z,.01,W,SPY201202P301,.01,C,.00,0,0,0.10%,99.90%,0.19%,.00,0,.00,.00,0,589,.005,.00,85.49%,0,<empty>,.005,,
SPY201202C302,61.17,I,1.00,+6.78,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,20,-.0132,.00,--,65.1582,<empty>,65.145,65.10,I,65.19,I,2 DEC 20,302,0,Z,.01,W,SPY201202P302,.01,X,.00,0,0,0.10%,99.90%,0.19%,.00,0,.00,.00,0,826,.005,.00,84.16%,0,<empty>,.005,,
SPY201202C303,53.46,A,1.00,+9.34,4,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,4,4,-.0132,.00,--,64.1582,<empty>,64.145,64.10,I,64.19,I,2 DEC 20,303,0,Z,.01,W,SPY201202P303,.01,I,.00,0,0,0.10%,99.90%,0.20%,.00,0,.00,.00,0,"2,089",.005,.00,82.84%,0,<empty>,.005,,
SPY201202C304,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0132,.00,--,63.1582,<empty>,63.145,63.10,I,63.19,I,2 DEC 20,304,0,Z,.01,W,SPY201202P304,.01,I,.00,0,0,0.10%,99.90%,0.20%,.00,0,.00,.00,0,828,.005,.00,81.51%,0,<empty>,.005,,
SPY201202C305,54.80,C,1.00,0,0,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,0,10,-.0132,.00,--,62.1582,<empty>,62.145,62.10,I,62.19,I,2 DEC 20,305,0,Z,.01,W,SPY201202P305,.01,I,.00,0,0,0.10%,99.90%,0.20%,.00,0,.00,.00,0,817,.005,.00,80.20%,0,<empty>,.005,,
SPY201202C306,54.77,I,1.00,+14.08,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,1,-.0032,.00,--,61.1582,<empty>,61.155,61.10,I,61.21,Q,2 DEC 20,306,0,Z,.01,W,SPY201202P306,.02,C,.00,0,0,0.10%,99.90%,0.20%,.00,0,.00,.00,0,"1,210",.005,.00,78.88%,0,<empty>,.005,,
SPY201202C307,52.49,Q,1.00,<empty>,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,1,-.0132,.00,--,60.1582,<empty>,60.145,60.10,I,60.19,I,2 DEC 20,307,0,Z,.01,W,SPY201202P307,.01,C,.00,0,0,0.10%,99.90%,0.21%,.00,0,.00,.00,0,339,.005,.00,77.57%,0,<empty>,.005,,
SPY201202C308,54.21,D,1.00,<empty>,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,1,-.0082,.00,--,59.1582,<empty>,59.150,59.10,I,59.20,Q,2 DEC 20,308,0,Z,.01,W,SPY201202P308,.02,P,.00,-.02,678,0.11%,99.89%,0.21%,.00,0,.00,.00,678,"1,289",.005,.00,76.26%,0,<empty>,.005,,
