Stock quote and option quote for SPY on 5/1/20 13:52:46

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
281.8002,D,-8.6798,281.80,Q,281.82,Q,6 x 15,"75,391,486",285.31,286.04,281.52

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
150,2.00%,<empty>,1.406,Q,3/20/20,339.08,218.26,0,.9794

Theo parameters
Theo date,Theo stock price,Theo volatility
1/3/21, 0.00$, 0.00%

1 MAY 20  (0)  100 (Weeklys)
,,Option Code,LAST,LX,Delta,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theo Price,Theta,Vega,Volume,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,High,Mark,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,LAST,LX,Delta,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theo Price,Theta,Vega,Volume,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,High,Mark,,
,,SPY200501C115,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0102,.00,--,166.8002,0,166.790,166.55,A,167.03,N,1 MAY 20,115,0,Z,.01,W,SPY200501P115,.01,X,.00,-.01,15,0.07%,99.93%,0.13%,.00,0,-.01,.00,15,"3,057",.005,.00,509.82%,0,0,.005,,
,,SPY200501C120,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0102,.00,--,161.8002,0,161.790,161.55,W,162.03,N,1 MAY 20,120,0,Z,.01,W,SPY200501P120,.01,X,.00,0,1,0.07%,99.93%,0.13%,.00,0,-.01,.00,1,"1,902",.005,.00,486.46%,0,0,.005,,
,,SPY200501C125,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,1,-.0052,.00,--,156.8002,0,156.795,156.56,W,157.03,N,1 MAY 20,125,0,Z,.01,W,SPY200501P125,.01,C,.00,0,1,0.07%,99.93%,0.13%,.00,0,-.01,.00,1,"3,355",.005,.00,464.06%,0,0,.005,,
,,SPY200501C130,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0102,.00,--,151.8002,0,151.790,151.55,W,152.03,N,1 MAY 20,130,0,Z,.01,W,SPY200501P130,.01,P,.00,0,55,0.07%,99.93%,0.13%,.00,0,-.01,.00,55,"4,286",.005,.00,442.53%,0,0,.005,,
,,SPY200501C135,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0102,.00,--,146.8002,0,146.790,146.55,N,147.03,Z,1 MAY 20,135,0,Z,.01,W,SPY200501P135,.01,M,.00,0,0,0.07%,99.93%,0.13%,.00,0,.00,.00,0,"2,053",.005,.00,421.80%,0,0,.005,,
,,SPY200501C140,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,1,-.0202,.00,--,141.8002,0,141.780,141.55,A,142.01,I,1 MAY 20,140,0,Z,.01,W,SPY200501P140,.01,C,.00,0,23,0.07%,99.93%,0.13%,.00,0,.00,.00,23,"5,520",.005,.00,401.81%,0,0,.005,,
,,SPY200501C145,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0102,.00,--,136.8002,0,136.790,136.55,N,137.03,X,1 MAY 20,145,0,Z,.01,W,SPY200501P145,.01,I,.00,0,5,0.07%,99.93%,0.13%,.00,0,.00,.00,5,"2,553",.005,.00,382.51%,0,0,.005,,
,,SPY200501C150,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,1,-.0102,.00,--,131.8002,0,131.790,131.55,N,132.03,Z,1 MAY 20,150,0,A,.01,W,SPY200501P150,.01,E,.00,0,16,0.07%,99.93%,0.13%,.00,0,-.01,.00,16,"54,116",.005,.00,363.85%,0,0,.005,,
,,SPY200501C155,116.61,M,1.00,+27.61,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,10,-.0102,.00,--,126.8002,0,126.790,126.55,N,127.03,X,1 MAY 20,155,0,Z,.01,W,SPY200501P155,.01,Z,.00,0,584,0.07%,99.93%,0.14%,.00,0,.00,.00,584,"3,470",.005,.00,345.78%,0,0,.005,,
,,SPY200501C160,133.45,E,1.00,+32.88,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,2,-.0102,.00,--,121.8002,0,121.790,121.55,N,122.03,X,1 MAY 20,160,0,Z,.01,W,SPY200501P160,.01,Q,.00,0,9,0.07%,99.93%,0.14%,.00,0,-.01,.00,9,"5,141",.005,.00,328.26%,0,0,.005,,
