LAST,Delta,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theta,Vega,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,High,Mark,BID,ASK,Strike,expire_days,target
0.81,0.41,-7.4,28563,36.62,63.38,92.92,0.0,-0.82,0.05,4042,0.82,0.15,20.75,0.0,4.32,0.82,0.81,0.83,282.0,0,0
0.65,0.33,-7.96,15560,30.24,69.76,75.74,0.0,-0.61,0.05,1612,0.61,0.14,20.24,0.0,3.9,0.61,0.6,0.62,282.5,0,0
2.74,0.48,-6.11,5562,46.3,53.7,97.71,0.01,-0.36,0.12,504,2.72,0.05,25.52,0.0,5.51,2.72,2.7,2.74,282.0,3,1
2.22,0.42,-5.9,8765,40.91,59.09,86.1,0.01,-0.34,0.12,584,2.215,0.05,24.95,0.0,4.8,2.215,2.2,2.23,283.0,3,1
1.77,0.37,-5.38,10611,35.5,64.5,74.53,0.01,-0.33,0.11,1391,1.775,0.05,24.45,0.0,4.15,1.775,1.76,1.79,284.0,3,1
1.38,0.31,-5.05,42404,30.2,69.8,63.25,0.01,-0.3,0.1,4148,1.395,0.05,23.98,0.0,3.58,1.395,1.39,1.4,285.0,3,1
1.08,0.26,-4.46,20706,25.02,74.98,52.27,0.01,-0.27,0.1,3042,1.06,0.05,23.4,0.0,2.98,1.06,1.05,1.07,286.0,3,1
0.81,0.21,-3.75,18317,20.35,79.65,42.44,0.01,-0.23,0.09,2571,0.8,0.04,23.04,0.0,2.45,0.8,0.79,0.81,287.0,3,1
0.59,0.17,-4.29,7939,16.09,83.91,33.48,0.01,-0.19,0.07,1149,0.585,0.04,22.63,0.0,1.96,0.585,0.58,0.59,288.0,3,1
4.21,0.49,-6.13,2117,47.19,52.81,98.49,0.02,-0.36,0.14,404,4.215,0.04,31.15,0.0,6.63,4.215,4.2,4.23,282.0,5,0
3.7,0.45,-5.86,1899,43.59,56.41,90.83,0.02,-0.35,0.14,799,3.675,0.04,30.56,0.0,5.93,3.675,3.66,3.69,283.0,5,0
3.23,0.41,-5.37,1882,39.91,60.09,83.05,0.02,-0.34,0.14,598,3.175,0.04,29.99,0.0,5.45,3.175,3.16,3.19,284.0,5,0
2.78,0.38,-4.51,4677,36.18,63.82,75.16,0.02,-0.33,0.14,1352,2.705,0.04,29.35,0.0,4.8,2.705,2.69,2.72,285.0,5,0
2.3,0.34,-4.56,1934,32.46,67.54,67.35,0.01,-0.31,0.13,860,2.285,0.04,28.79,0.0,4.23,2.285,2.27,2.3,286.0,5,0
1.94,0.3,-3.81,2282,28.8,71.2,59.68,0.01,-0.29,0.13,591,1.91,0.03,28.25,0.0,3.69,1.91,1.9,1.92,287.0,5,1
1.57,0.26,-3.57,1858,25.15,74.85,52.03,0.01,-0.26,0.12,935,1.56,0.03,27.6,0.0,3.15,1.56,1.55,1.57,288.0,5,1
1.28,0.23,-3.32,3161,21.74,78.26,44.92,0.01,-0.24,0.11,3255,1.27,0.03,27.11,0.0,2.69,1.27,1.26,1.28,289.0,5,1
1.04,0.19,-3.0,4272,18.45,81.55,38.07,0.01,-0.21,0.1,3853,1.01,0.03,26.55,0.0,2.28,1.01,1.0,1.02,290.0,5,1
0.8,0.16,-2.75,2908,15.49,84.51,31.94,0.01,-0.18,0.09,5372,0.8,0.03,26.12,0.0,1.91,0.8,0.79,0.81,291.0,5,1
0.61,0.14,-2.48,3956,12.82,87.18,26.39,0.01,-0.16,0.08,2193,0.625,0.02,25.71,0.0,1.75,0.625,0.62,0.63,292.0,5,1
5.35,0.49,-5.27,2562,47.39,52.61,98.79,0.03,-0.34,0.17,820,5.3,0.03,33.51,0.0,7.77,5.3,5.28,5.32,282.0,7,0
4.73,0.46,-4.45,2468,44.49,55.51,92.62,0.03,-0.33,0.17,1265,4.735,0.03,32.88,0.0,7.09,4.735,4.72,4.75,283.0,7,0
4.27,0.43,-4.67,2736,41.52,58.48,86.32,0.02,-0.32,0.16,1403,4.2,0.03,32.25,0.0,6.42,4.2,4.18,4.22,284.0,7,0
3.74,0.4,-4.31,10026,38.49,61.51,79.91,0.02,-0.31,0.16,8844,3.695,0.03,31.61,0.0,5.84,3.695,3.68,3.71,285.0,7,0
3.22,0.37,-4.08,4752,35.41,64.59,73.42,0.02,-0.3,0.16,2849,3.22,0.03,30.95,0.0,5.24,3.22,3.21,3.23,286.0,7,0
2.84,0.34,-4.57,2478,32.3,67.7,66.9,0.02,-0.28,0.15,8417,2.78,0.03,30.3,0.0,4.64,2.78,2.77,2.79,287.0,7,0
2.38,0.31,-3.76,6593,29.2,70.8,60.4,0.02,-0.26,0.15,2595,2.375,0.03,29.65,0.0,4.13,2.375,2.36,2.39,288.0,7,0
2.01,0.28,-3.43,2546,26.14,73.86,54.02,0.02,-0.25,0.14,3151,2.01,0.03,29.04,0.0,3.6,2.01,2.0,2.02,289.0,7,0
