Stock quote and option quote for SPY on 6/1/20 13:52:31

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
305.89,Q,+1.57,305.90,P,305.91,Q,1 x 5,"34,095,530",303.62,306.205,303.06

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
338,1.84%,<empty>,1.406,Q,3/20/20,339.08,218.26,0,1.003

Theo parameters
Theo date,Theo stock price,Theo volatility
1/3/21, 0.00$, 0.00%

1 JUN 20  (0)  100 (Weeklys)
,,Option Code,LAST,LX,Delta,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theo Price,Theta,Vega,Volume,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,High,Mark,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,LAST,LX,Delta,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theo Price,Theta,Vega,Volume,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,High,Mark,,
,,SPY200601C145,139.98,C,1.00,-6.05,3,99.84%,0.16%,0.31%,.00,0,-.02,.00,3,3,.015,.00,465.52%,160.90,0,160.915,160.79,W,161.04,Z,1 JUN 20,145,0,Z,.01,X,SPY200601P145,.01,P,.00,0,"1,121",0.06%,99.94%,0.12%,.00,0,.00,.00,"1,121","1,141",.005,.00,426.61%,0,0,.005,,
,,SPY200601C150,139.87,I,1.00,<empty>,1,99.84%,0.16%,0.31%,.00,0,-.02,.00,1,1,.015,.00,444.54%,155.90,0,155.915,155.79,W,156.04,Z,1 JUN 20,150,0,Z,.01,W,SPY200601P150,.02,W,.00,0,30,0.06%,99.94%,0.12%,.00,0,-.01,.00,30,71,.005,.00,408.09%,0,0,.005,,
,,SPY200601C155,0, ,1.00,0,<empty>,99.75%,0.25%,0.49%,.00,0,-.03,.00,<empty>,0,.025,.00,444.84%,150.90,0,150.925,150.79,X,151.06,Z,1 JUN 20,155,0,Z,.01,X,SPY200601P155,.02,B,.00,+.01,100,0.06%,99.94%,0.12%,.00,0,-.01,.00,100,"1,528",.005,.00,390.16%,0,0,.005,,
,,SPY200601C160,144.85,I,1.00,0,0,99.67%,0.33%,0.65%,.00,0,-.04,.00,0,2,.035,.00,438.11%,145.90,0,145.935,145.80,Z,146.07,X,1 JUN 20,160,0,Z,.01,X,SPY200601P160,.02,M,.00,0,50,0.06%,99.94%,0.12%,.00,0,.00,.00,50,127,.005,.00,372.80%,0,0,.005,,
,,SPY200601C165,139.87,I,1.00,0,0,99.66%,0.34%,0.65%,.00,0,-.04,.00,0,2,.035,.00,418.55%,140.90,0,140.935,140.80,Z,141.07,X,1 JUN 20,165,0,Z,.01,X,SPY200601P165,.01,I,.00,0,3,0.06%,99.94%,0.12%,.00,0,.00,.00,3,122,.005,.00,355.95%,0,0,.005,,
,,SPY200601C170,0, ,1.00,0,<empty>,99.74%,0.26%,0.50%,.00,0,-.03,.00,<empty>,0,.025,.00,387.38%,135.90,0,135.925,135.79,X,136.06,Z,1 JUN 20,170,0,Z,.01,X,SPY200601P170,.02,Q,.00,0,6,0.06%,99.94%,0.13%,.00,0,.00,.00,6,151,.005,.00,339.58%,0,0,.005,,
,,SPY200601C175,0, ,1.00,0,<empty>,99.74%,0.26%,0.51%,.00,0,-.03,.00,<empty>,0,.025,.00,369.29%,130.90,0,130.925,130.79,X,131.06,Z,1 JUN 20,175,0,Z,.01,X,SPY200601P175,.01,X,.00,0,100,0.07%,99.93%,0.13%,.00,0,.00,.00,100,"2,815",.005,.00,323.68%,0,0,.005,,
,,SPY200601C180,0, ,1.00,0,<empty>,99.65%,0.35%,0.68%,.00,0,-.04,.00,<empty>,10,.035,.00,363.23%,125.90,0,125.935,125.80,Z,126.07,X,1 JUN 20,180,0,Z,.01,X,SPY200601P180,.02,W,.00,-.02,54,0.07%,99.93%,0.13%,.00,0,-.01,.00,54,469,.005,.00,308.20%,0,0,.005,,
,,SPY200601C185,0, ,1.00,0,<empty>,99.73%,0.27%,0.53%,.01,0,-.03,.00,<empty>,0,.025,.00,334.88%,120.90,0,120.925,120.79,X,121.06,Z,1 JUN 20,185,0,Z,.01,X,SPY200601P185,.05,A,.00,+.01,1,0.07%,99.93%,0.13%,.00,0,-.01,.00,1,97,.005,.00,293.12%,0,0,.005,,
,,SPY200601C190,0, ,1.00,0,<empty>,99.63%,0.37%,0.71%,.01,0,-.04,.00,<empty>,10,.035,.00,328.78%,115.90,0,115.935,115.80,Z,116.07,X,1 JUN 20,190,0,Z,.01,X,SPY200601P190,.01,H,.00,-.01,10,0.07%,99.93%,0.14%,.00,0,-.01,.00,10,436,.005,.00,278.42%,0,0,.005,,
,,SPY200601C195,0, ,1.00,0,<empty>,99.72%,0.28%,0.56%,.01,0,-.03,.00,<empty>,0,.025,.00,302.50%,110.90,0,110.925,110.79,X,111.06,Z,1 JUN 20,195,0,Z,.01,X,SPY200601P195,.01,W,.00,-.01,582,0.07%,99.93%,0.14%,.00,0,.00,.00,582,708,.005,.00,264.08%,0,0,.005,,
,,SPY200601C200,104.60,I,1.00,+3.16,3,99.61%,0.39%,0.75%,.01,0,-.04,.00,3,6,.035,.00,296.20%,105.90,104.60,105.935,105.80,Z,106.07,X,1 JUN 20,200,0,Z,.01,X,SPY200601P200,.01,H,.00,-.01,138,0.07%,99.93%,0.14%,.00,0,.00,.00,138,"2,499",.005,.00,250.08%,0,0,.005,,
,,SPY200601C205,99.72,E,1.00,+9.21,1,99.61%,0.39%,0.77%,.01,0,-.04,.00,1,2,.035,.00,280.06%,100.90,99.72,100.935,100.80,Z,101.07,X,1 JUN 20,205,0,Z,.01,X,SPY200601P205,.01,W,.00,-.01,51,0.08%,99.92%,0.15%,.00,0,.00,.00,51,331,.005,.00,236.39%,0,0,.005,,
,,SPY200601C210,0, ,1.00,0,<empty>,99.69%,0.31%,0.60%,.01,0,-.03,.00,<empty>,0,.025,.00,255.91%,95.90,0,95.925,95.79,X,96.06,Z,1 JUN 20,210,0,Z,.01,X,SPY200601P210,.01,Q,.00,0,3,0.08%,99.92%,0.15%,.00,0,-.01,.00,3,"2,689",.005,.00,223.01%,0,0,.005,,
,,SPY200601C215,0, ,1.00,0,<empty>,99.58%,0.42%,0.82%,.01,0,-.04,.00,<empty>,15,.035,.00,249.30%,90.90,0,90.935,90.81,Z,91.06,Z,1 JUN 20,215,0,Z,.01,X,SPY200601P215,.01,M,.00,0,50,0.08%,99.92%,0.16%,.00,0,-.01,.00,50,"1,374",.005,.00,209.91%,0,0,.005,,
,,SPY200601C220,61.30,N,1.00,-1.95,3,99.57%,0.43%,0.85%,.01,0,-.04,.00,3,3,.035,.00,234.53%,85.90,0,85.935,85.81,Z,86.06,Z,1 JUN 20,220,0,Z,.01,X,SPY200601P220,.01,Z,.00,0,30,0.08%,99.92%,0.16%,.00,0,.00,.00,30,"2,744",.005,.00,197.07%,0,0,.005,,
,,SPY200601C225,0, ,1.00,0,<empty>,99.55%,0.45%,0.88%,.01,0,-.04,.00,<empty>,0,.035,.00,219.67%,80.90,0,80.935,80.81,Z,81.06,Z,1 JUN 20,225,0,Z,.01,X,SPY200601P225,.01,X,.00,0,22,0.09%,99.91%,0.17%,.00,0,-.01,.00,22,"1,407",.005,.00,184.48%,0,0,.005,,
,,SPY200601C230,72.02,E,1.00,+19.02,1,99.53%,0.47%,0.92%,.01,0,-.04,.00,1,5,.035,.00,205.54%,75.90,0,75.935,75.81,Z,76.06,Z,1 JUN 20,230,0,Z,.01,X,SPY200601P230,.01,X,.00,0,15,0.09%,99.91%,0.18%,.00,0,.00,.00,15,"2,309",.005,.00,172.13%,0,0,.005,,
,,SPY200601C235,62.13,C,1.00,+9.11,1,99.51%,0.49%,0.96%,.01,0,-.04,.00,1,1,.035,.00,191.26%,70.90,0,70.935,70.81,Z,71.06,Z,1 JUN 20,235,0,Z,.01,X,SPY200601P235,.01,Q,.00,0,1,0.09%,99.91%,0.19%,.00,0,-.01,.00,1,"1,976",.005,.00,160.00%,0,0,.005,,
,,SPY200601C240,62.78,I,1.00,0,0,99.49%,0.51%,1.01%,.01,0,-.04,.00,0,14,.035,.00,177.33%,65.90,0,65.935,65.81,Z,66.06,Z,1 JUN 20,240,0,Z,.01,W,SPY200601P240,.01,I,.00,0,0,0.10%,99.90%,0.20%,.00,0,-.01,.00,0,"1,798",.005,.00,148.08%,0,0,.005,,
,,SPY200601C245,56.10,C,1.00,+5.25,8,99.81%,0.19%,0.38%,.01,0,-.01,.00,8,7,.01,.00,144.99%,60.90,0,60.910,60.83,Z,60.99,Z,1 JUN 20,245,0,Z,.01,W,SPY200601P245,.02,E,.00,-.01,152,0.10%,99.90%,0.21%,.00,0,.00,.00,152,"2,413",.005,.00,136.36%,0,0,.005,,
,,SPY200601C250,54.79,E,1.00,+3.15,2,99.88%,0.12%,0.24%,.01,0,-.01,.00,2,23,.005,.00,125.63%,55.90,54.79,55.905,55.83,Z,55.98,Z,1 JUN 20,250,0,Z,.01,X,SPY200601P250,.01,A,.00,0,31,0.11%,99.89%,0.22%,.00,0,.00,.00,31,"4,531",.005,.00,124.81%,0,.01,.005,,
,,SPY200601C254,47.00,P,1.00,0,0,99.62%,0.38%,0.75%,.01,0,-.02,.00,0,12,.02,.00,131.37%,51.90,0,51.920,51.86,Z,51.98,Z,1 JUN 20,254,0,Z,.01,W,SPY200601P254,.01,A,.00,0,1,0.12%,99.88%,0.23%,.00,0,.00,.00,1,"1,948",.005,.00,115.70%,0,.01,.005,,
,,SPY200601C255,47.00,Q,1.00,0,0,99.78%,0.22%,0.44%,.01,0,-.01,.00,0,15,.01,.00,120.85%,50.90,0,50.910,50.84,Z,50.98,Q,1 JUN 20,255,0,Z,.01,W,SPY200601P255,.01,H,.00,0,0,0.12%,99.88%,0.24%,.00,0,.00,.00,0,"6,705",.005,.00,113.44%,0,0,.005,,
,,SPY200601C256,48.97,D,1.00,+19.32,2,99.77%,0.23%,0.45%,.01,0,-.01,.00,2,2,.01,.00,118.54%,49.90,48.97,49.910,49.83,Z,49.99,Z,1 JUN 20,256,0,Z,.01,X,SPY200601P256,.01,W,.00,0,0,0.12%,99.88%,0.24%,.00,0,.00,.00,0,"7,498",.005,.00,111.18%,0,0,.005,,
,,SPY200601C257,46.28,C,1.00,+1.58,6,99.79%,0.21%,0.42%,.01,0,-.01,.00,6,25,.01,.00,115.17%,48.90,0,48.910,48.83,Z,48.99,Z,1 JUN 20,257,0,Z,.01,W,SPY200601P257,.01,I,.00,0,0,0.12%,99.88%,0.24%,.00,0,.00,.00,0,182,.005,.00,108.93%,0,0,.005,,
,,SPY200601C258,38.37,C,1.00,+1.07,7,99.77%,0.23%,0.45%,.01,0,-.01,.00,7,32,.01,.00,113.46%,47.90,0,47.910,47.86,Z,47.96,Z,1 JUN 20,258,0,Z,.01,W,SPY200601P258,.01,E,.00,-.01,2,0.13%,99.87%,0.25%,.00,0,.00,.00,2,592,.005,.00,106.68%,0,0,.005,,
,,SPY200601C259,0, ,1.00,0,<empty>,99.78%,0.22%,0.44%,.01,0,-.01,.00,<empty>,1,.01,.00,110.67%,46.90,0,46.910,46.83,Z,46.99,Z,1 JUN 20,259,0,Z,.01,W,SPY200601P259,.01,M,.00,0,0,0.13%,99.87%,0.25%,.00,0,.00,.00,0,"1,618",.005,.00,104.44%,0,0,.005,,
,,SPY200601C260,44.52,C,1.00,+1.74,3,99.86%,0.14%,0.27%,.01,0,-.01,.00,3,22,.005,.00,102.80%,45.90,44.52,45.905,45.83,Z,45.98,Z,1 JUN 20,260,0,B,.01,W,SPY200601P260,.01,E,.00,0,0,0.13%,99.87%,0.26%,.00,0,.00,.00,0,"8,697",.005,.00,102.21%,0,0,.005,,
,,SPY200601C261,40.21,C,1.00,+5.70,1,99.68%,0.32%,0.64%,.01,0,-.01,.00,1,5,.015,.00,110.16%,44.90,0,44.915,44.84,Q,44.99,Z,1 JUN 20,261,0,Z,.01,X,SPY200601P261,.01,Z,.00,0,0,0.13%,99.87%,0.26%,.00,0,.00,.00,0,"2,243",.005,.00,99.98%,0,0,.005,,
,,SPY200601C262,39.42,C,1.00,+5.85,3,99.75%,0.25%,0.49%,.01,0,-.01,.00,3,4,.01,.00,104.26%,43.90,0,43.910,43.84,Q,43.98,Z,1 JUN 20,262,0,Z,.01,X,SPY200601P262,.01,P,.00,0,0,0.13%,99.87%,0.27%,.00,0,.00,.00,0,"1,854",.005,.00,97.76%,0,0,.005,,
,,SPY200601C263,37.56,C,1.00,+5.39,1,99.76%,0.24%,0.47%,.01,0,-.01,.00,1,16,.01,.00,101.23%,42.90,0,42.910,42.83,Z,42.99,Z,1 JUN 20,263,0,Z,.01,X,SPY200601P263,.01,E,.00,0,0,0.14%,99.86%,0.27%,.00,0,.00,.00,0,"1,977",.005,.00,95.54%,0,0,.005,,
,,SPY200601C264,40.94,A,1.00,+.94,5,99.86%,0.14%,0.28%,.01,0,-.01,.00,5,7,.005,.00,93.59%,41.90,40.94,41.905,41.83,Z,41.98,Z,1 JUN 20,264,0,Z,.01,X,SPY200601P264,.01,E,.00,0,0,0.14%,99.86%,0.28%,.00,0,.00,.00,0,"1,708",.005,.00,93.33%,0,0,.005,,
,,SPY200601C265,39.88,Z,1.00,+.92,5,99.75%,0.25%,0.50%,.01,0,-.01,.00,5,49,.01,.00,97.00%,40.90,39.88,40.910,40.84,Q,40.98,Z,1 JUN 20,265,0,B,.01,X,SPY200601P265,.01,W,.00,0,0,0.14%,99.86%,0.28%,.00,0,.00,.00,0,"11,329",.005,.00,91.12%,0,0,.005,,
,,SPY200601C266,0, ,1.00,0,<empty>,99.74%,0.26%,0.52%,.01,0,-.01,.00,<empty>,2,.01,.00,94.88%,39.90,0,39.910,39.83,Z,39.99,Z,1 JUN 20,266,0,Z,.01,X,SPY200601P266,.02,H,.00,-.02,14,0.14%,99.86%,0.29%,.00,0,-.01,.00,14,721,.005,.00,88.92%,0,0,.005,,
,,SPY200601C267,18.55,W,1.00,-6.71,85,99.73%,0.27%,0.53%,.01,0,-.01,.00,85,106,.01,.00,92.55%,38.90,0,38.910,38.83,Z,38.99,Z,1 JUN 20,267,0,Z,.01,X,SPY200601P267,.01,W,.00,0,0,0.15%,99.85%,0.29%,.00,0,.00,.00,0,"1,629",.005,.00,86.72%,0,0,.005,,
,,SPY200601C268,15.06,Z,1.00,-4.88,54,99.85%,0.15%,0.30%,.01,0,-.01,.00,54,497,.005,.00,84.66%,37.90,0,37.905,37.83,Z,37.98,Z,1 JUN 20,268,0,Z,.01,X,SPY200601P268,.04,I,.00,0,0,0.15%,99.85%,0.30%,.00,0,.00,.00,0,520,.005,.00,84.53%,0,0,.005,,
,,SPY200601C269,27.30,C,1.00,+8.61,30,99.74%,0.26%,0.52%,.01,0,-.01,.00,30,75,.01,.00,87.31%,36.90,0,36.910,36.86,Z,36.96,Z,1 JUN 20,269,0,Z,.01,W,SPY200601P269,.02,A,.00,0,0,0.15%,99.85%,0.30%,.00,0,-.01,.00,0,"5,909",.005,.00,82.34%,0,0,.005,,
,,SPY200601C270,35.41,I,1.00,+1.45,6,99.72%,0.28%,0.55%,.01,0,-.01,.00,6,106,.01,.00,85.37%,35.90,35.41,35.910,35.84,Q,35.98,Z,1 JUN 20,270,0,B,.01,W,SPY200601P270,.01,C,.00,0,3,0.16%,99.84%,0.31%,.00,0,.00,.00,3,"9,201",.005,.00,80.15%,0,.01,.005,,
,,SPY200601C271,33.46,X,1.00,+.36,1,99.71%,0.29%,0.57%,.01,0,-.01,.00,1,131,.01,.00,83.09%,34.90,33.46,34.910,34.83,Z,34.99,Z,1 JUN 20,271,0,Z,.01,W,SPY200601P271,.01,A,.00,0,0,0.16%,99.84%,0.32%,.00,0,.00,.00,0,"1,180",.005,.00,77.97%,0,0,.005,,
,,SPY200601C272,29.10,C,1.00,0,0,99.83%,0.17%,0.34%,.01,0,-.01,.00,0,218,.005,.00,76.23%,33.90,0,33.905,33.83,Z,33.98,Z,1 JUN 20,272,0,Z,.01,W,SPY200601P272,.01,C,.00,0,0,0.16%,99.84%,0.32%,.00,0,.00,.00,0,876,.005,.00,75.79%,0,0,.005,,
,,SPY200601C273,28.74,W,1.00,0,0,99.85%,0.15%,0.30%,.01,0,.00,.00,0,83,.005,.00,72.97%,32.90,0,32.905,32.83,Z,32.98,Z,1 JUN 20,273,0,Z,.01,W,SPY200601P273,.01,C,.00,0,1,0.17%,99.83%,0.33%,.00,0,-.01,.00,1,632,.005,.00,73.62%,0,.01,.005,,
,,SPY200601C274,30.86,E,1.00,+1.22,1,99.57%,0.43%,0.85%,.01,0,-.02,.00,1,321,.015,.00,79.42%,31.90,30.86,31.915,31.84,Q,31.99,Z,1 JUN 20,274,0,Z,.01,W,SPY200601P274,.01,E,.00,0,3,0.17%,99.83%,0.34%,.00,0,.00,.00,3,"1,105",.005,.00,71.45%,0,.01,.005,,
,,SPY200601C275,31.10,I,1.00,+4.78,17,99.56%,0.44%,0.88%,.01,0,-.02,.00,17,319,.015,.00,77.10%,30.90,31.10,30.915,30.85,Z,30.98,Q,1 JUN 20,275,0,B,.01,W,SPY200601P275,.01,I,.00,-.01,5,0.18%,99.82%,0.35%,.00,0,.00,.00,5,"13,872",.005,.00,69.28%,0,.01,.005,,
,,SPY200601C276,28.45,I,.99,+2.34,6,99.21%,0.79%,1.56%,.01,0,-.03,.00,6,95,.03,.00,80.70%,29.90,28.65,29.930,29.89,P,29.97,P,1 JUN 20,276,0,Z,.01,W,SPY200601P276,.02,I,.00,0,0,0.18%,99.82%,0.36%,.00,0,.00,.00,0,"2,083",.005,.00,67.12%,0,0,.005,,
,,SPY200601C277,29.10,W,.99,-.02,11,99.42%,0.58%,1.16%,.01,0,-.02,.00,11,267,.02,.00,74.65%,28.90,29.10,28.920,28.88,P,28.96,P,1 JUN 20,277,0,Z,.01,W,SPY200601P277,.01,X,.00,0,1,0.18%,99.82%,0.37%,.00,0,.00,.00,1,"4,562",.005,.00,64.95%,0,.01,.005,,
,,SPY200601C278,25.48,C,.99,0,0,99.28%,0.72%,1.43%,.01,0,-.03,.00,0,516,.025,.00,74.06%,27.90,0,27.925,27.89,P,27.96,P,1 JUN 20,278,0,B,.01,W,SPY200601P278,.02,M,.00,0,0,0.19%,99.81%,0.38%,.00,0,-.01,.00,0,"2,029",.005,.00,62.79%,0,0,.005,,
,,SPY200601C279,26.18,W,1.00,0,0,99.65%,0.35%,0.69%,.01,0,-.01,.00,0,360,.01,.00,64.76%,26.90,0,26.910,26.87,P,26.95,P,1 JUN 20,279,0,Z,.01,X,SPY200601P279,.01,A,.00,0,20,0.20%,99.80%,0.39%,.00,0,.00,.00,20,"1,181",.005,.00,60.63%,0,.01,.005,,
,,SPY200601C280,25.94,E,.99,+1.94,46,99.12%,0.88%,1.75%,.01,0,-.03,.00,46,"1,702",.03,.00,70.65%,25.90,25.94,25.930,25.90,P,25.96,P,1 JUN 20,280,0,B,.01,X,SPY200601P280,.01,E,.00,0,59,0.20%,99.80%,0.40%,.00,0,.00,.00,59,"15,405",.005,.00,58.48%,0,.01,.005,,
,,SPY200601C281,23.89,I,.99,-.61,1,99.09%,0.91%,1.81%,.01,0,-.03,.00,1,417,.03,.00,68.20%,24.90,23.89,24.930,24.90,P,24.96,P,1 JUN 20,281,0,B,.01,W,SPY200601P281,.02,A,.00,0,0,0.21%,99.79%,0.41%,.00,0,.00,.00,0,"1,890",.005,.00,56.32%,0,0,.005,,
,,SPY200601C282,23.88,E,1.00,+1.73,11,99.77%,0.23%,0.45%,.01,0,-.01,.00,11,217,.005,.00,54.54%,23.90,23.88,23.905,23.83,Z,23.98,P,1 JUN 20,282,0,B,.01,X,SPY200601P282,.01,A,.00,-.01,40,0.21%,99.79%,0.43%,.00,0,.00,.00,40,"17,090",.005,.00,54.17%,0,.01,.005,,
