Strike,BID,ASK,LAST,Delta,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theta,Vega,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,High,Mark,expire_days,target
299,0.56,0.57,0.56,-0.15,-0.42,5368,16.0,84.0,31.81,0.0,-0.27,0.07,2742,0.565,0.03,25.03,0.0,1.5,0.565,2,1
300,0.7,0.71,0.71,-0.19,-0.47,18356,19.33,80.67,38.44,0.0,-0.31,0.07,9734,0.705,0.04,24.51,0.0,1.78,0.705,2,1
301,0.88,0.89,0.87,-0.23,-0.49,5700,23.31,76.69,46.33,-0.01,-0.35,0.08,2761,0.885,0.05,24.1,0.0,2.07,0.885,2,1
302,1.08,1.09,1.08,-0.27,-0.55,13675,27.67,72.33,54.99,-0.01,-0.38,0.09,5071,1.085,0.05,23.47,0.0,2.41,1.085,2,1
303,1.33,1.34,1.33,-0.32,-0.54,17436,32.71,67.29,64.98,-0.01,-0.41,0.1,2766,1.335,0.06,22.93,0.0,2.83,1.335,2,1
304,1.63,1.64,1.61,-0.38,-0.59,15360,38.33,61.67,76.13,-0.01,-0.43,0.11,3526,1.635,0.06,22.4,0.0,3.32,1.635,2,1
305,1.98,2.0,1.99,-0.44,-0.57,71560,44.48,55.52,88.3,-0.01,-0.44,0.11,2564,1.99,0.06,21.85,0.0,3.77,1.99,2,1
293,0.55,0.56,0.55,-0.11,-0.21,5785,11.29,88.71,22.39,0.0,-0.19,0.07,6004,0.555,0.02,29.97,0.0,1.17,0.555,4,1
294,0.63,0.64,0.62,-0.12,-0.25,3328,12.78,87.22,25.34,-0.01,-0.21,0.07,18071,0.635,0.02,29.39,0.0,1.34,0.635,4,1
295,0.73,0.74,0.74,-0.14,-0.26,16059,14.55,85.45,28.84,-0.01,-0.22,0.08,36850,0.735,0.02,28.9,0.0,1.5,0.735,4,1
296,0.85,0.86,0.83,-0.16,-0.29,3761,16.58,83.42,32.87,-0.01,-0.24,0.09,2520,0.855,0.02,28.47,0.0,1.69,0.855,4,1
297,0.98,0.99,0.97,-0.18,-0.32,2310,18.77,81.23,37.21,-0.01,-0.26,0.09,4680,0.985,0.03,27.96,0.0,1.9,0.985,4,1
298,1.13,1.14,1.13,-0.2,-0.31,7171,21.22,78.78,42.06,-0.01,-0.28,0.1,4096,1.135,0.03,27.44,0.0,2.15,1.135,4,1
299,1.3,1.31,1.3,-0.23,-0.32,3246,23.92,76.08,47.41,-0.01,-0.3,0.11,4382,1.305,0.03,26.92,0.0,2.4,1.305,4,1
300,1.49,1.5,1.49,-0.26,-0.34,17572,26.88,73.12,53.26,-0.01,-0.31,0.12,19506,1.495,0.03,26.35,0.0,2.7,1.495,4,1
301,1.72,1.73,1.7,-0.29,-0.36,4795,30.22,69.78,59.87,-0.01,-0.33,0.12,5621,1.725,0.04,25.88,0.0,3.01,1.725,4,1
302,1.97,1.98,1.98,-0.33,-0.37,7836,33.79,66.21,66.93,-0.01,-0.34,0.13,6316,1.975,0.04,25.33,0.0,3.37,1.975,4,1
303,2.26,2.27,2.25,-0.37,-0.42,8912,37.69,62.31,74.64,-0.02,-0.35,0.13,5937,2.265,0.04,24.82,0.0,3.78,2.265,4,1
304,2.58,2.59,2.58,-0.41,-0.37,9820,41.86,58.14,82.88,-0.02,-0.35,0.14,4606,2.585,0.04,24.25,0.0,4.21,2.585,4,1
305,2.95,2.96,2.93,-0.45,-0.39,9425,46.33,53.67,91.69,-0.02,-0.36,0.14,8042,2.955,0.05,23.75,0.0,4.7,2.955,4,1
289,0.55,0.56,0.56,-0.09,-0.38,792,9.67,90.33,19.15,-0.01,-0.13,0.07,773,0.555,0.01,29.05,0.0,1.01,0.555,7,1
290,0.62,0.63,0.63,-0.1,-0.17,1867,10.77,89.23,21.33,-0.01,-0.14,0.08,2162,0.625,0.01,28.63,0.0,1.15,0.625,7,1
291,0.7,0.71,0.69,-0.11,-0.2,293,12.0,88.0,23.76,-0.01,-0.15,0.09,724,0.705,0.01,28.22,0.0,1.29,0.705,7,1
292,0.78,0.8,0.78,-0.12,-0.32,345,13.31,86.69,26.36,-0.01,-0.16,0.09,1296,0.79,0.02,27.75,0.0,1.4,0.79,7,1
293,0.88,0.9,0.88,-0.14,-0.2,177,14.8,85.2,29.31,-0.01,-0.17,0.1,875,0.89,0.02,27.34,0.0,1.57,0.89,7,1
294,0.99,1.01,0.99,-0.15,-0.24,173,16.43,83.57,32.52,-0.01,-0.18,0.11,689,1.0,0.02,26.89,0.0,1.72,1.0,7,1
295,1.11,1.13,1.08,-0.17,-0.27,590,18.18,81.82,35.99,-0.01,-0.19,0.12,2847,1.12,0.02,26.42,0.0,1.92,1.12,7,1
296,1.25,1.27,1.25,-0.19,-0.29,180,20.15,79.85,39.88,-0.01,-0.2,0.12,1067,1.26,0.02,25.99,0.0,2.09,1.26,7,1
297,1.41,1.43,1.41,-0.21,-0.32,1076,22.33,77.67,44.18,-0.01,-0.21,0.13,1559,1.42,0.03,25.58,0.0,2.35,1.42,7,1
298,1.58,1.6,1.56,-0.23,-0.32,515,24.64,75.36,48.75,-0.02,-0.22,0.14,826,1.59,0.03,25.1,0.0,2.57,1.59,7,1
299,1.77,1.8,1.75,-0.26,-0.4,457,27.19,72.81,53.78,-0.02,-0.23,0.15,2541,1.785,0.03,24.65,0.0,2.86,1.785,7,1
300,1.99,2.01,1.99,-0.29,-0.3,3241,29.93,70.07,59.2,-0.02,-0.24,0.15,5128,2.0,0.03,24.18,0.0,3.19,2.0,7,1
301,2.23,2.26,2.25,-0.32,-0.27,733,32.92,67.08,65.1,-0.02,-0.25,0.16,2650,2.245,0.03,23.74,0.0,3.51,2.245,7,1
302,2.5,2.53,2.47,-0.35,-0.32,569,36.13,63.87,71.42,-0.02,-0.25,0.17,1176,2.515,0.04,23.29,0.0,3.87,2.515,7,1
303,2.8,2.83,2.79,-0.38,-0.33,3094,39.55,60.45,78.17,-0.03,-0.25,0.17,1656,2.815,0.04,22.83,0.0,4.26,2.815,7,1
304,3.13,3.16,3.11,-0.42,-0.37,2624,43.18,56.82,85.32,-0.03,-0.25,0.18,828,3.145,0.04,22.35,0.0,4.68,3.145,7,1
305,3.49,3.53,3.5,-0.46,-0.43,1802,47.01,52.99,92.88,-0.03,-0.25,0.18,1245,3.51,0.04,21.87,0.0,5.14,3.51,7,1
282,0.52,0.53,0.53,-0.07,-0.32,76,7.61,92.39,15.03,-0.01,-0.11,0.07,442,0.525,0.01,33.68,0.0,0.86,0.525,9,1
283,0.57,0.58,0.57,-0.07,-0.17,176,8.28,91.72,16.35,-0.01,-0.12,0.07,353,0.575,0.01,33.25,0.0,0.95,0.575,9,1
284,0.62,0.63,0.63,-0.08,-0.34,255,8.96,91.04,17.7,-0.01,-0.12,0.08,793,0.625,0.01,32.76,0.0,1.05,0.625,9,1
