,Option Code,LAST,Delta,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theta,Vega,Volume.1,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,High,Mark,BID,ASK,Exp,Strike
0,SPY200601C145,139.98,1.0,-6.05,3,99.84%,0.16%,0.31%,0.0,-0.02,0.0,3,3,0.015,0.0,465.52%,160.9,0.0,160.915,160.79,161.04,1 JUN 20,145
1,SPY200601C150,139.87,1.0,<empty>,1,99.84%,0.16%,0.31%,0.0,-0.02,0.0,1,1,0.015,0.0,444.54%,155.9,0.0,155.915,155.79,156.04,1 JUN 20,150
2,SPY200601C155,0.0,1.0,0,<empty>,99.75%,0.25%,0.49%,0.0,-0.03,0.0,<empty>,0,0.025,0.0,444.84%,150.9,0.0,150.925,150.79,151.06,1 JUN 20,155
3,SPY200601C160,144.85,1.0,0,0,99.67%,0.33%,0.65%,0.0,-0.04,0.0,0,2,0.035,0.0,438.11%,145.9,0.0,145.935,145.8,146.07,1 JUN 20,160
4,SPY200601C165,139.87,1.0,0,0,99.66%,0.34%,0.65%,0.0,-0.04,0.0,0,2,0.035,0.0,418.55%,140.9,0.0,140.935,140.8,141.07,1 JUN 20,165
5,SPY200601C170,0.0,1.0,0,<empty>,99.74%,0.26%,0.50%,0.0,-0.03,0.0,<empty>,0,0.025,0.0,387.38%,135.9,0.0,135.925,135.79,136.06,1 JUN 20,170
6,SPY200601C175,0.0,1.0,0,<empty>,99.74%,0.26%,0.51%,0.0,-0.03,0.0,<empty>,0,0.025,0.0,369.29%,130.9,0.0,130.925,130.79,131.06,1 JUN 20,175
7,SPY200601C180,0.0,1.0,0,<empty>,99.65%,0.35%,0.68%,0.0,-0.04,0.0,<empty>,10,0.035,0.0,363.23%,125.9,0.0,125.935,125.8,126.07,1 JUN 20,180
8,SPY200601C185,0.0,1.0,0,<empty>,99.73%,0.27%,0.53%,0.01,-0.03,0.0,<empty>,0,0.025,0.0,334.88%,120.9,0.0,120.925,120.79,121.06,1 JUN 20,185
9,SPY200601C190,0.0,1.0,0,<empty>,99.63%,0.37%,0.71%,0.01,-0.04,0.0,<empty>,10,0.035,0.0,328.78%,115.9,0.0,115.935,115.8,116.07,1 JUN 20,190
10,SPY200601C195,0.0,1.0,0,<empty>,99.72%,0.28%,0.56%,0.01,-0.03,0.0,<empty>,0,0.025,0.0,302.50%,110.9,0.0,110.925,110.79,111.06,1 JUN 20,195
11,SPY200601C200,104.6,1.0,+3.16,3,99.61%,0.39%,0.75%,0.01,-0.04,0.0,3,6,0.035,0.0,296.20%,105.9,104.6,105.935,105.8,106.07,1 JUN 20,200
12,SPY200601C205,99.72,1.0,+9.21,1,99.61%,0.39%,0.77%,0.01,-0.04,0.0,1,2,0.035,0.0,280.06%,100.9,99.72,100.935,100.8,101.07,1 JUN 20,205
13,SPY200601C210,0.0,1.0,0,<empty>,99.69%,0.31%,0.60%,0.01,-0.03,0.0,<empty>,0,0.025,0.0,255.91%,95.9,0.0,95.925,95.79,96.06,1 JUN 20,210
14,SPY200601C215,0.0,1.0,0,<empty>,99.58%,0.42%,0.82%,0.01,-0.04,0.0,<empty>,15,0.035,0.0,249.30%,90.9,0.0,90.935,90.81,91.06,1 JUN 20,215
15,SPY200601C220,61.3,1.0,-1.95,3,99.57%,0.43%,0.85%,0.01,-0.04,0.0,3,3,0.035,0.0,234.53%,85.9,0.0,85.935,85.81,86.06,1 JUN 20,220
16,SPY200601C225,0.0,1.0,0,<empty>,99.55%,0.45%,0.88%,0.01,-0.04,0.0,<empty>,0,0.035,0.0,219.67%,80.9,0.0,80.935,80.81,81.06,1 JUN 20,225
17,SPY200601C230,72.02,1.0,+19.02,1,99.53%,0.47%,0.92%,0.01,-0.04,0.0,1,5,0.035,0.0,205.54%,75.9,0.0,75.935,75.81,76.06,1 JUN 20,230
18,SPY200601C235,62.13,1.0,+9.11,1,99.51%,0.49%,0.96%,0.01,-0.04,0.0,1,1,0.035,0.0,191.26%,70.9,0.0,70.935,70.81,71.06,1 JUN 20,235
19,SPY200601C240,62.78,1.0,0,0,99.49%,0.51%,1.01%,0.01,-0.04,0.0,0,14,0.035,0.0,177.33%,65.9,0.0,65.935,65.81,66.06,1 JUN 20,240
20,SPY200601C245,56.1,1.0,+5.25,8,99.81%,0.19%,0.38%,0.01,-0.01,0.0,8,7,0.01,0.0,144.99%,60.9,0.0,60.91,60.83,60.99,1 JUN 20,245
21,SPY200601C250,54.79,1.0,+3.15,2,99.88%,0.12%,0.24%,0.01,-0.01,0.0,2,23,0.005,0.0,125.63%,55.9,54.79,55.905,55.83,55.98,1 JUN 20,250
22,SPY200601C254,47.0,1.0,0,0,99.62%,0.38%,0.75%,0.01,-0.02,0.0,0,12,0.02,0.0,131.37%,51.9,0.0,51.92,51.86,51.98,1 JUN 20,254
23,SPY200601C255,47.0,1.0,0,0,99.78%,0.22%,0.44%,0.01,-0.01,0.0,0,15,0.01,0.0,120.85%,50.9,0.0,50.91,50.84,50.98,1 JUN 20,255
24,SPY200601C256,48.97,1.0,+19.32,2,99.77%,0.23%,0.45%,0.01,-0.01,0.0,2,2,0.01,0.0,118.54%,49.9,48.97,49.91,49.83,49.99,1 JUN 20,256
25,SPY200601C257,46.28,1.0,+1.58,6,99.79%,0.21%,0.42%,0.01,-0.01,0.0,6,25,0.01,0.0,115.17%,48.9,0.0,48.91,48.83,48.99,1 JUN 20,257
26,SPY200601C258,38.37,1.0,+1.07,7,99.77%,0.23%,0.45%,0.01,-0.01,0.0,7,32,0.01,0.0,113.46%,47.9,0.0,47.91,47.86,47.96,1 JUN 20,258
27,SPY200601C259,0.0,1.0,0,<empty>,99.78%,0.22%,0.44%,0.01,-0.01,0.0,<empty>,1,0.01,0.0,110.67%,46.9,0.0,46.91,46.83,46.99,1 JUN 20,259
