,Exp,Strike,BID.1,ASK.1,Option Code.1,LAST.1,Delta.1,Net Chng.1,Volume.2,Prob.ITM.1,Prob.OTM.1,Prob.Touch.1,Rho.1,Theta.1,Vega.1,Volume.3,Open.Int.1,Extrinsic.1,Gamma.1,Impl Vol.1,Intrinsic.1,High.1,Mark.1,Unnamed: 52,Unnamed: 53
0,1 JUN 20,145,0.0,0.01,SPY200601P145,0.01,0.0,0,"1,121",0.06%,99.94%,0.12%,0.0,0.0,0.0,"1,121","1,141",0.005,0.0,426.61%,0.0,0.0,0.005,,
1,1 JUN 20,150,0.0,0.01,SPY200601P150,0.02,0.0,0,30,0.06%,99.94%,0.12%,0.0,-0.01,0.0,30,71,0.005,0.0,408.09%,0.0,0.0,0.005,,
2,1 JUN 20,155,0.0,0.01,SPY200601P155,0.02,0.0,+.01,100,0.06%,99.94%,0.12%,0.0,-0.01,0.0,100,"1,528",0.005,0.0,390.16%,0.0,0.0,0.005,,
3,1 JUN 20,160,0.0,0.01,SPY200601P160,0.02,0.0,0,50,0.06%,99.94%,0.12%,0.0,0.0,0.0,50,127,0.005,0.0,372.80%,0.0,0.0,0.005,,
4,1 JUN 20,165,0.0,0.01,SPY200601P165,0.01,0.0,0,3,0.06%,99.94%,0.12%,0.0,0.0,0.0,3,122,0.005,0.0,355.95%,0.0,0.0,0.005,,
5,1 JUN 20,170,0.0,0.01,SPY200601P170,0.02,0.0,0,6,0.06%,99.94%,0.13%,0.0,0.0,0.0,6,151,0.005,0.0,339.58%,0.0,0.0,0.005,,
6,1 JUN 20,175,0.0,0.01,SPY200601P175,0.01,0.0,0,100,0.07%,99.93%,0.13%,0.0,0.0,0.0,100,"2,815",0.005,0.0,323.68%,0.0,0.0,0.005,,
7,1 JUN 20,180,0.0,0.01,SPY200601P180,0.02,0.0,-.02,54,0.07%,99.93%,0.13%,0.0,-0.01,0.0,54,469,0.005,0.0,308.20%,0.0,0.0,0.005,,
8,1 JUN 20,185,0.0,0.01,SPY200601P185,0.05,0.0,+.01,1,0.07%,99.93%,0.13%,0.0,-0.01,0.0,1,97,0.005,0.0,293.12%,0.0,0.0,0.005,,
9,1 JUN 20,190,0.0,0.01,SPY200601P190,0.01,0.0,-.01,10,0.07%,99.93%,0.14%,0.0,-0.01,0.0,10,436,0.005,0.0,278.42%,0.0,0.0,0.005,,
10,1 JUN 20,195,0.0,0.01,SPY200601P195,0.01,0.0,-.01,582,0.07%,99.93%,0.14%,0.0,0.0,0.0,582,708,0.005,0.0,264.08%,0.0,0.0,0.005,,
11,1 JUN 20,200,0.0,0.01,SPY200601P200,0.01,0.0,-.01,138,0.07%,99.93%,0.14%,0.0,0.0,0.0,138,"2,499",0.005,0.0,250.08%,0.0,0.0,0.005,,
