Stock quote and option quote for SPY on 7/1/20 11:27:13

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
309.756,D,+1.396,309.73,Q,309.75,Z,8 x 1,"26,811,767",309.57,311.26,309.30

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
100,1.76%,<empty>,1.366,Q,6/19/20,339.08,218.26,0,1.001

Theo parameters
Theo date,Theo stock price,Theo volatility
12/30/20, 0.00$, 0.00%

1 JUL 20  (0)  100 (Weeklys)
Option Code,LAST,LX,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theo Price,Theta,Vega,Volume,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,BID,BX,ASK,AX,,,Exp,Strike,BID,BX,ASK,AX,Option Code,LAST,LX,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theo Price,Theta,Vega,Volume,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,,
SPY200701C155,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.165,.00,--,154.75,154.36,A,154.81,N,,,1 JUL 20,155,0,J,.01,W,SPY200701P155,.01,A,0,5,0.06%,99.94%,0.12%,.00,0,-.01,.00,5,91,.005,.00,395.82%,0,,
SPY200701C160,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.115,.00,--,149.75,149.43,A,149.84,W,,,1 JUL 20,160,0,B,.01,W,SPY200701P160,.01,M,0,15,0.06%,99.94%,0.12%,.00,0,-.01,.00,15,103,.005,.00,378.47%,0,,
SPY200701C165,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.045,.00,--,144.75,144.50,C,144.91,W,,,1 JUL 20,165,0,B,.01,W,SPY200701P165,.02,B,-.03,9,0.06%,99.94%,0.12%,.00,0,-.01,.00,9,280,.005,.00,361.64%,0,,
SPY200701C170,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.055,.00,--,139.75,139.48,A,139.91,W,,,1 JUL 20,170,0,J,.01,W,SPY200701P170,.02,Q,0,20,0.06%,99.94%,0.12%,.00,0,.00,.00,20,363,.005,.00,345.29%,0,,
SPY200701C175,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.105,.00,--,134.75,134.43,A,134.86,C,,,1 JUL 20,175,0,B,.01,W,SPY200701P175,.01,I,0,1,0.06%,99.94%,0.13%,.00,0,-.01,.00,1,"1,560",.005,.00,329.40%,0,,
SPY200701C180,126.45,W,0,0,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,0,10,-.055,.00,--,129.75,129.48,A,129.91,W,,,1 JUL 20,180,0,J,.01,X,SPY200701P180,.01,B,-.01,100,0.07%,99.93%,0.13%,.00,0,.00,.00,100,337,.005,.00,313.94%,0,,
SPY200701C185,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.085,.00,--,124.75,124.43,A,124.90,C,,,1 JUL 20,185,0,J,.01,X,SPY200701P185,.01,W,0,169,0.07%,99.93%,0.13%,.00,0,-.01,.00,169,982,.005,.00,298.89%,0,,
SPY200701C190,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.045,.00,--,119.75,119.50,C,119.91,W,,,1 JUL 20,190,0,B,.01,X,SPY200701P190,.01,P,-.01,410,0.07%,99.93%,0.13%,.00,0,.00,.00,410,"1,662",.005,.00,284.21%,0,,
SPY200701C195,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.06,.00,--,114.75,114.48,A,114.90,W,,,1 JUL 20,195,0,B,.01,X,SPY200701P195,.01,W,0,65,0.07%,99.93%,0.14%,.00,0,.00,.00,65,"1,374",.005,.00,269.89%,0,,
SPY200701C200,107.08,C,<empty>,50,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,50,0,-.175,.00,--,109.75,109.36,A,109.79,N,,,1 JUL 20,200,0,B,.01,W,SPY200701P200,.01,Z,-.01,66,0.07%,99.93%,0.14%,.00,0,.00,.00,66,"1,404",.005,.00,255.91%,0,,
SPY200701C205,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.165,.00,--,104.75,104.36,A,104.81,N,,,1 JUL 20,205,0,B,.01,W,SPY200701P205,.01,A,-.01,1,0.07%,99.93%,0.14%,.00,0,.00,.00,1,"5,130",.005,.00,242.25%,0,,
SPY200701C210,97.70,C,+6.48,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,0,-.24,.00,--,99.75,99.36,A,99.66,N,,,1 JUL 20,210,0,J,.01,X,SPY200701P210,.02,A,+.01,22,0.08%,99.92%,0.15%,.00,0,.00,.00,22,671,.005,.00,228.89%,0,,
SPY200701C215,95.17,E,-2.73,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,0,-.165,.00,--,94.75,94.37,N,94.80,A,,,1 JUL 20,215,0,B,.01,X,SPY200701P215,.02,D,0,764,0.08%,99.92%,0.15%,.00,0,-.01,.00,764,"1,563",.005,.00,215.81%,0,,
SPY200701C220,91.60,I,<empty>,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,0,-.065,.00,--,89.75,89.48,A,89.89,Z,,,1 JUL 20,220,0,B,.01,X,SPY200701P220,.02,C,0,"1,345",0.08%,99.92%,0.16%,.00,0,-.01,.00,"1,345","2,331",.005,.00,203.00%,0,,
SPY200701C225,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.065,.00,--,84.75,84.48,A,84.89,Z,,,1 JUL 20,225,0,J,.01,W,SPY200701P225,.02,W,0,16,0.08%,99.92%,0.16%,.00,0,-.01,.00,16,126,.005,.00,190.44%,0,,
SPY200701C230,80.16,E,-2.76,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,0,-.065,.00,--,79.75,79.48,C,79.89,Z,,,1 JUL 20,230,0,B,.01,W,SPY200701P230,.01,X,-.02,30,0.09%,99.91%,0.17%,.00,0,-.01,.00,30,"1,618",.005,.00,178.12%,0,,
SPY200701C235,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.045,.00,--,74.75,74.52,A,74.89,Z,,,1 JUL 20,235,0,B,.01,X,SPY200701P235,.01,D,-.03,3,0.09%,99.91%,0.18%,.00,0,-.01,.00,3,445,.005,.00,166.02%,0,,
SPY200701C240,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.115,.00,--,69.75,69.48,I,69.79,I,,,1 JUL 20,240,0,J,.01,X,SPY200701P240,.01,D,-.03,"3,444",0.10%,99.90%,0.19%,.00,0,.00,.00,"3,444","4,293",.005,.00,154.14%,0,,
SPY200701C245,60.82,C,0,0,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,0,2,-.085,.00,--,64.75,64.51,I,64.82,I,,,1 JUL 20,245,0,J,.01,X,SPY200701P245,.02,A,-.03,169,0.10%,99.90%,0.20%,.00,0,.00,.00,169,"1,205",.005,.00,142.45%,0,,
SPY200701C250,60.82,E,+5.03,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,5,-.03,.00,--,59.75,59.57,Q,59.87,Q,,,1 JUL 20,250,0,B,.01,X,SPY200701P250,.01,I,0,0,0.11%,99.89%,0.21%,.00,0,-.01,.00,0,"2,345",.005,.00,130.94%,0,,
SPY200701C255,49.30,Z,-15.62,20,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,20,0,-.12,.00,--,54.75,54.55,Q,54.71,I,,,1 JUL 20,255,0,B,.01,X,SPY200701P255,.02,E,-.04,104,0.11%,99.89%,0.22%,.00,0,.00,.00,104,843,.005,.00,119.61%,0,,
SPY200701C260,45.55,A,-6.09,9,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,9,9,-.025,.00,--,49.75,49.55,Q,49.90,Q,,,1 JUL 20,260,0,B,.01,X,SPY200701P260,.01,A,0,0,0.12%,99.88%,0.24%,.00,0,.00,.00,0,"1,408",.005,.00,108.43%,0,,
SPY200701C265,39.37,C,-18.19,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,1,-.075,.00,--,44.75,44.56,Q,44.79,Q,,,1 JUL 20,265,0,B,.01,X,SPY200701P265,.01,Q,0,0,0.13%,99.87%,0.26%,.00,0,-.01,.00,0,"1,131",.005,.00,97.40%,0,,
SPY200701C270,40.50,C,+8.17,8,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,8,12,-.015,.00,--,39.75,39.61,Q,39.86,Q,,,1 JUL 20,270,.01,W,.01,W,SPY200701P270,.01,M,0,1,0.27%,99.73%,0.53%,.00,0,-.01,.00,1,"10,175",.01,.00,92.37%,0,,
SPY200701C271,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.02,.00,--,38.75,38.58,Q,38.88,Q,,,1 JUL 20,271,0,J,.01,X,SPY200701P271,.01,W,0,0,0.15%,99.85%,0.29%,.00,0,-.01,.00,0,770,.005,.00,84.32%,0,,
SPY200701C272,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.075,.00,--,37.75,37.53,Q,37.82,N,,,1 JUL 20,272,0,J,.01,W,SPY200701P272,.01,W,0,0,0.15%,99.85%,0.30%,.00,0,.00,.00,0,554,.005,.00,82.16%,0,,
