LAST,Delta,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theta,Vega,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,High,Mark,BID,ASK,Strike,expire_days,expire_price,target,dt_predict,rf_predict,kn_predict
1.65,0.2,0.11,192,18.56,81.44,37.86,0.04,-0.09,0.22,868,1.65,0.02,19.13,0.0,1.71,1.65,1.64,1.66,324,23,321.99,WIN,LOSS,WIN,WIN
1.33,0.19,0.19,1758,18.26,81.74,37.22,0.03,-0.1,0.18,22452,1.345,0.02,19.1,0.0,1.51,1.345,1.34,1.35,322,16,322.57,WIN,LOSS,WIN,WIN
1.62,0.26,0.28,945,25.13,74.87,51.3,0.02,-0.16,0.17,3824,1.54,0.03,19.24,0.0,1.86,1.54,1.53,1.55,317,9,317.88,WIN,LOSS,LOSS,WIN
0.72,0.12,-0.11,63,10.82,89.18,22.0,0.02,-0.06,0.14,396,0.74,0.01,18.24,0.0,0.78,0.74,0.73,0.75,327,19,325.13,WIN,LOSS,WIN,WIN
2.3,0.25,0.51,57,23.33,76.67,47.67,0.06,-0.09,0.27,129,2.335,0.02,19.08,0.0,2.48,2.335,2.32,2.35,322,26,323.41,WIN,LOSS,WIN,WIN
0.95,0.12,0.13,149,10.68,89.32,21.75,0.03,-0.05,0.18,963,0.96,0.01,18.91,0.0,1.05,0.96,0.95,0.97,332,30,326.63,WIN,LOSS,WIN,WIN
5.82,0.42,0.56,414,39.82,60.18,81.99,0.1,-0.12,0.35,1568,5.91,0.02,21.91,0.0,6.32,5.91,5.89,5.93,315,30,326.63,LOSS,LOSS,WIN,WIN
0.85,0.13,0.24,40,12.17,87.83,24.76,0.02,-0.07,0.15,531,0.85,0.02,18.21,0.0,0.94,0.85,0.84,0.86,326,19,325.13,WIN,LOSS,WIN,WIN
2.04,0.28,0.29,64,26.31,73.69,53.73,0.03,-0.13,0.21,511,2.02,0.03,19.25,0.0,2.24,2.02,2.01,2.03,318,14,323.04,LOSS,LOSS,WIN,WIN
0.82,0.1,0.05,20,8.88,91.12,18.06,0.03,-0.05,0.16,295,0.775,0.01,18.97,0.0,0.82,0.775,0.77,0.78,334,30,326.63,WIN,LOSS,WIN,WIN
1.33,0.16,0.29,73,15.07,84.93,30.72,0.03,-0.08,0.2,2272,1.26,0.02,18.87,0.0,1.33,1.26,1.25,1.27,326,23,321.99,WIN,LOSS,WIN,WIN
6.45,0.5,-0.12,219,47.69,52.31,98.24,0.09,-0.15,0.3,707,6.56,0.02,22.4,0.0,6.86,6.56,6.54,6.58,311,21,327.2,LOSS,LOSS,LOSS,LOSS
1.92,0.2,0.31,197,18.43,81.57,37.63,0.05,-0.08,0.25,1943,1.885,0.02,19.21,0.0,1.99,1.885,1.87,1.9,326,30,326.63,WIN,LOSS,WIN,WIN
5.15,0.41,0.34,14,38.95,61.05,80.03,0.09,-0.13,0.33,336,5.115,0.02,21.07,0.0,5.25,5.115,5.09,5.14,315,26,323.41,LOSS,LOSS,WIN,WIN
5.08,0.38,0.3,30,35.75,64.25,73.48,0.09,-0.12,0.34,796,4.95,0.02,21.33,0.0,5.17,4.95,4.93,4.97,317,30,326.63,LOSS,LOSS,WIN,WIN
5.97,0.47,1.6,22,45.34,54.66,93.3,0.08,-0.15,0.3,220,6.0,0.02,22.09,0.0,6.26,6.0,5.98,6.02,312,21,327.2,LOSS,LOSS,LOSS,WIN
2.45,0.27,0.22,25,25.49,74.51,52.08,0.05,-0.11,0.25,696,2.385,0.02,19.37,0.0,2.61,2.385,2.37,2.4,320,21,327.2,LOSS,LOSS,WIN,WIN
4.54,0.38,0.86,5,36.15,63.85,74.21,0.07,-0.13,0.3,884,4.33,0.02,21.03,0.0,4.55,4.33,4.32,4.34,316,23,321.99,LOSS,LOSS,WIN,WIN
0.97,0.13,0.1,292,12.23,87.77,24.89,0.03,-0.07,0.17,2338,0.975,0.01,18.8,0.0,0.99,0.975,0.97,0.98,328,23,321.99,WIN,LOSS,WIN,WIN
1.27,0.19,0.22,18,17.44,82.56,35.53,0.03,-0.09,0.19,722,1.335,0.02,18.46,0.0,1.44,1.335,1.32,1.35,323,19,325.13,LOSS,LOSS,WIN,WIN
7.27,0.5,0.27,92,47.7,52.3,98.41,0.11,-0.14,0.34,129,7.305,0.02,22.42,0.0,7.64,7.305,7.28,7.33,311,26,323.41,LOSS,LOSS,LOSS,WIN
8.15,0.5,0.46,154,47.68,52.32,98.57,0.12,-0.13,0.36,1093,8.17,0.02,23.32,0.0,8.49,8.17,8.15,8.19,311,30,326.63,LOSS,LOSS,LOSS,WIN
2.57,0.37,0.31,1514,36.16,63.84,74.05,0.03,-0.2,0.19,2020,2.65,0.04,20.29,0.0,3.05,2.65,2.64,2.66,314,9,317.88,LOSS,LOSS,LOSS,WIN
4.12,0.43,0.55,122,41.61,58.39,85.39,0.05,-0.17,0.25,4550,4.135,0.03,21.05,0.0,4.55,4.135,4.12,4.15,313,14,323.04,LOSS,LOSS,LOSS,WIN
