LAST,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theta,Vega,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,BID,ASK,Strike,expire_days,expire_price,target
0.85,-0.07,22919,39.75,60.25,91.69,0.0,-0.85,0.06,15807,0.845,0.15,17.96,0.0,0.84,0.85,310,0,311.89,1
0.45,-0.15,43211,26.38,73.62,59.87,0.0,-0.46,0.05,7883,0.455,0.13,17.12,0.0,0.45,0.46,311,0,311.89,1
0.24,-0.13,35159,15.92,84.08,35.5,0.0,-0.24,0.04,7220,0.235,0.09,16.99,0.0,0.23,0.24,312,0,311.89,0
0.11,-0.13,23513,8.84,91.16,19.43,0.0,-0.12,0.03,9493,0.115,0.06,17.08,0.0,0.11,0.12,313,0,311.89,0
0.05,-0.1,9277,4.65,95.35,10.1,0.0,-0.06,0.02,5674,0.055,0.04,17.36,0.0,0.05,0.06,314,0,311.89,0
0.04,-0.07,7772,2.93,97.07,6.3,0.0,-0.04,0.01,7040,0.035,0.02,18.65,0.0,0.03,0.04,315,0,311.89,0
0.02,-0.05,1688,2.03,97.97,4.31,0.0,-0.03,0.01,2483,0.025,0.02,20.18,0.0,0.02,0.03,316,0,311.89,0
0.01,-0.03,1150,1.26,98.74,2.67,0.0,-0.02,0.01,2603,0.015,0.01,21.17,0.0,0.01,0.02,317,0,311.89,0
0.01,-0.02,1618,0.46,99.54,0.98,0.0,-0.01,0.0,2187,0.005,0.0,20.52,0.0,0.0,0.01,318,0,311.89,0
0.01,-0.01,1049,0.42,99.58,0.89,0.0,-0.01,0.0,2658,0.005,0.0,22.57,0.0,0.0,0.01,319,0,311.89,0
0.01,-0.01,57,0.39,99.61,0.82,0.0,-0.01,0.0,6197,0.005,0.0,24.6,0.0,0.0,0.01,320,0,311.89,0
0.01,0.0,1,0.36,99.64,0.75,0.0,-0.01,0.0,1910,0.005,0.0,26.6,0.0,0.0,0.01,321,0,311.89,0
0.01,0.0,38,0.34,99.66,0.7,0.0,-0.01,0.0,1947,0.005,0.0,28.58,0.0,0.0,0.01,322,0,311.89,0
0.01,0.0,12,0.32,99.68,0.66,0.0,-0.01,0.0,765,0.005,0.0,30.54,0.0,0.0,0.01,323,0,311.89,0
0.01,0.0,26,0.3,99.7,0.62,0.0,-0.01,0.0,863,0.005,0.0,32.48,0.0,0.0,0.01,324,0,311.89,0
0.01,-0.01,1,0.27,99.73,0.55,0.0,-0.01,0.0,1311,0.005,0.0,36.31,0.0,0.0,0.01,326,0,311.89,0
0.01,0.0,2,0.24,99.76,0.5,0.0,-0.01,0.0,536,0.005,0.0,40.09,0.0,0.0,0.01,328,0,311.89,0
0.01,0.0,9,0.23,99.77,0.48,0.0,0.0,0.0,632,0.005,0.0,41.95,0.0,0.0,0.01,329,0,311.89,0
0.01,0.0,2,0.22,99.78,0.46,0.0,0.0,0.0,4399,0.005,0.0,43.8,0.0,0.0,0.01,330,0,311.89,0
0.01,-0.01,25,0.21,99.79,0.44,0.0,0.0,0.0,1323,0.005,0.0,45.64,0.0,0.0,0.01,331,0,311.89,0
0.01,0.0,1,0.21,99.79,0.42,0.0,0.0,0.0,402,0.005,0.0,47.47,0.0,0.0,0.01,332,0,311.89,0
0.01,-0.01,50,0.2,99.8,0.41,0.0,0.0,0.0,888,0.005,0.0,49.29,0.0,0.0,0.01,333,0,311.89,0
0.01,-0.01,64,0.19,99.81,0.39,0.0,0.0,0.0,412,0.005,0.0,51.09,0.0,0.0,0.01,334,0,311.89,0
0.01,0.0,2,0.18,99.82,0.38,0.0,0.0,0.0,406,0.005,0.0,52.88,0.0,0.0,0.01,335,0,311.89,0
0.01,-0.02,1,0.18,99.82,0.36,0.0,-0.01,0.0,146,0.005,0.0,54.66,0.0,0.0,0.01,336,0,311.89,0
0.02,0.0,20,0.17,99.83,0.35,0.0,0.0,0.0,251,0.005,0.0,56.43,0.0,0.0,0.01,337,0,311.89,0
0.01,-0.01,11,0.17,99.83,0.34,0.0,0.0,0.0,1446,0.005,0.0,58.19,0.0,0.0,0.01,338,0,311.89,0
0.01,-0.02,7,0.16,99.84,0.33,0.0,0.0,0.0,298,0.005,0.0,59.94,0.0,0.0,0.01,339,0,311.89,0
