Strike,BID,ASK,LAST,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theta,Vega,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,expire_days,expire_price,target
155,0.0,0.01,0.01,0.0,5,0.06,99.94,0.12,0.0,-0.01,0.0,91,0.005,0.0,395.82,0.0,0,309.07,0
160,0.0,0.01,0.01,0.0,15,0.06,99.94,0.12,0.0,-0.01,0.0,103,0.005,0.0,378.47,0.0,0,309.07,0
165,0.0,0.01,0.02,-0.03,9,0.06,99.94,0.12,0.0,-0.01,0.0,280,0.005,0.0,361.64,0.0,0,309.07,0
170,0.0,0.01,0.02,0.0,20,0.06,99.94,0.12,0.0,0.0,0.0,363,0.005,0.0,345.29,0.0,0,309.07,0
175,0.0,0.01,0.01,0.0,1,0.06,99.94,0.13,0.0,-0.01,0.0,1560,0.005,0.0,329.4,0.0,0,309.07,0
180,0.0,0.01,0.01,-0.01,100,0.07,99.93,0.13,0.0,0.0,0.0,337,0.005,0.0,313.94,0.0,0,309.07,0
185,0.0,0.01,0.01,0.0,169,0.07,99.93,0.13,0.0,-0.01,0.0,982,0.005,0.0,298.89,0.0,0,309.07,0
190,0.0,0.01,0.01,-0.01,410,0.07,99.93,0.13,0.0,0.0,0.0,1662,0.005,0.0,284.21,0.0,0,309.07,0
195,0.0,0.01,0.01,0.0,65,0.07,99.93,0.14,0.0,0.0,0.0,1374,0.005,0.0,269.89,0.0,0,309.07,0
200,0.0,0.01,0.01,-0.01,66,0.07,99.93,0.14,0.0,0.0,0.0,1404,0.005,0.0,255.91,0.0,0,309.07,0
205,0.0,0.01,0.01,-0.01,1,0.07,99.93,0.14,0.0,0.0,0.0,5130,0.005,0.0,242.25,0.0,0,309.07,0
210,0.0,0.01,0.02,0.01,22,0.08,99.92,0.15,0.0,0.0,0.0,671,0.005,0.0,228.89,0.0,0,309.07,0
215,0.0,0.01,0.02,0.0,764,0.08,99.92,0.15,0.0,-0.01,0.0,1563,0.005,0.0,215.81,0.0,0,309.07,0
220,0.0,0.01,0.02,0.0,1345,0.08,99.92,0.16,0.0,-0.01,0.0,2331,0.005,0.0,203.0,0.0,0,309.07,0
225,0.0,0.01,0.02,0.0,16,0.08,99.92,0.16,0.0,-0.01,0.0,126,0.005,0.0,190.44,0.0,0,309.07,0
230,0.0,0.01,0.01,-0.02,30,0.09,99.91,0.17,0.0,-0.01,0.0,1618,0.005,0.0,178.12,0.0,0,309.07,0
235,0.0,0.01,0.01,-0.03,3,0.09,99.91,0.18,0.0,-0.01,0.0,445,0.005,0.0,166.02,0.0,0,309.07,0
240,0.0,0.01,0.01,-0.03,3444,0.1,99.9,0.19,0.0,0.0,0.0,4293,0.005,0.0,154.14,0.0,0,309.07,0
245,0.0,0.01,0.02,-0.03,169,0.1,99.9,0.2,0.0,0.0,0.0,1205,0.005,0.0,142.45,0.0,0,309.07,0
255,0.0,0.01,0.02,-0.04,104,0.11,99.89,0.22,0.0,0.0,0.0,843,0.005,0.0,119.61,0.0,0,309.07,0
270,0.01,0.01,0.01,0.0,1,0.27,99.73,0.53,0.0,-0.01,0.0,10175,0.01,0.0,92.37,0.0,0,309.07,0
275,0.01,0.01,0.01,-0.01,11,0.29,99.71,0.58,0.0,-0.01,0.0,8362,0.01,0.0,80.8,0.0,0,309.07,0
282,0.0,0.01,0.01,-0.01,1,0.19,99.81,0.38,0.0,0.0,0.0,1417,0.005,0.0,60.71,0.0,0,309.07,0
283,0.02,0.01,0.01,-0.01,21,0.48,99.52,0.95,0.0,-0.01,0.0,5634,0.015,0.0,65.12,0.0,0,309.07,0
284,0.0,0.01,0.01,-0.01,1,0.21,99.79,0.4,0.0,0.0,0.0,1150,0.005,0.0,56.45,0.0,0,309.07,0
285,0.0,0.01,0.01,-0.02,3,0.21,99.79,0.42,0.0,0.0,0.0,11929,0.005,0.0,54.32,0.0,0,309.07,0
286,0.03,0.01,0.01,-0.02,5,0.69,99.31,1.35,0.0,-0.02,0.0,7092,0.02,0.0,60.25,0.0,0,309.07,0
288,0.04,0.01,0.01,-0.02,10,0.87,99.13,1.69,0.0,-0.02,0.0,2269,0.025,0.0,56.82,0.0,0,309.07,0
289,0.0,0.01,0.01,-0.03,23,0.24,99.76,0.48,0.0,0.0,0.0,6035,0.005,0.0,45.82,0.0,0,309.07,0
290,0.0,0.01,0.01,-0.04,30,0.25,99.75,0.5,0.0,0.0,0.0,16654,0.005,0.0,43.69,0.0,0,309.07,0
291,0.0,0.01,0.01,-0.04,124,0.27,99.73,0.52,0.0,-0.01,0.0,1893,0.005,0.0,41.56,0.0,0,309.07,0
292,0.0,0.01,0.01,-0.04,19,0.28,99.72,0.54,0.0,-0.01,0.0,4858,0.005,0.0,39.43,0.0,0,309.07,0
293,0.0,0.01,0.01,-0.04,113,0.29,99.71,0.57,0.0,0.0,0.0,2251,0.005,0.0,37.3,0.0,0,309.07,0
294,0.0,0.01,0.01,-0.05,58,0.31,99.69,0.6,0.0,0.0,0.0,2608,0.005,0.0,35.17,0.0,0,309.07,0
295,0.0,0.01,0.01,-0.05,243,0.32,99.68,0.63,0.0,0.0,0.0,20141,0.005,0.0,33.03,0.0,0,309.07,0
296,0.0,0.01,0.01,-0.07,325,0.34,99.66,0.67,0.0,0.0,0.0,4373,0.005,0.0,30.89,0.0,0,309.07,0
297,0.0,0.01,0.01,-0.07,563,0.37,99.63,0.71,0.0,0.0,0.0,5787,0.005,0.0,28.74,0.0,0,309.07,0
298,0.01,0.02,0.01,-0.1,7831,0.98,99.02,1.88,0.0,-0.02,0.0,5386,0.015,0.01,30.24,0.0,0,309.07,0
299,0.01,0.02,0.02,-0.11,1722,1.05,98.95,2.02,0.0,-0.02,0.0,6965,0.015,0.01,27.83,0.0,0,309.07,0
300,0.01,0.02,0.02,-0.13,5857,1.13,98.87,2.17,0.0,-0.02,0.0,16894,0.015,0.01,25.41,0.0,0,309.07,0
301,0.01,0.02,0.02,-0.18,1822,1.23,98.77,2.36,0.0,-0.02,0.01,6600,0.015,0.01,22.96,0.0,0,309.07,0
302,0.02,0.03,0.03,-0.24,2192,1.97,98.03,3.76,0.0,-0.03,0.01,4979,0.025,0.01,21.98,0.0,0,309.07,0
303,0.03,0.04,0.04,-0.31,5247,2.83,97.17,5.35,0.0,-0.04,0.01,5958,0.035,0.02,20.43,0.0,0,309.07,0
304,0.06,0.07,0.05,-0.41,3940,4.98,95.02,9.37,0.0,-0.07,0.02,26570,0.065,0.03,19.84,0.0,0,309.07,0
305,0.09,0.1,0.1,-0.52,9720,7.35,92.65,13.71,0.0,-0.1,0.02,9219,0.095,0.05,18.21,0.0,0,309.07,0
306,0.15,0.16,0.18,-0.64,9454,11.72,88.28,21.62,0.0,-0.16,0.03,7681,0.155,0.07,16.96,0.0,0,309.07,0
307,0.26,0.27,0.28,-0.8,14374,18.98,81.02,34.52,0.0,-0.27,0.04,6017,0.265,0.1,15.86,0.0,0,309.07,0
308,0.44,0.45,0.45,-1.0,19484,29.88,70.12,53.23,0.0,-0.45,0.06,4741,0.445,0.15,14.64,0.0,0,309.07,0
309,0.74,0.75,0.75,-1.14,20891,45.43,54.57,78.57,0.0,-0.75,0.06,3790,0.745,0.18,13.45,0.0,0,309.07,0
150,0.0,0.01,0.01,0.0,1,0.06,99.94,0.12,0.0,0.0,0.0,620,0.005,0.0,292.85,0.0,1,311.51,0
155,0.0,0.01,0.01,0.0,1,0.06,99.94,0.12,0.0,0.0,0.0,270,0.005,0.0,280.18,0.0,1,311.51,0
