,Exp,Strike,BID.1,ASK.1,Option Code.1,LAST.1,Net Chng.1,Volume.2,Prob.ITM.1,Prob.OTM.1,Prob.Touch.1,Rho.1,Theta.1,Vega.1,Volume.3,Open.Int.1,Extrinsic.1,Gamma.1,Impl Vol.1,Intrinsic.1
0,1 JUL 20,155,0.0,0.01,SPY200701P155,0.01,0,5,0.06%,99.94%,0.12%,0.0,-0.01,0.0,5,91,0.005,0.0,395.82%,0.0
1,1 JUL 20,160,0.0,0.01,SPY200701P160,0.01,0,15,0.06%,99.94%,0.12%,0.0,-0.01,0.0,15,103,0.005,0.0,378.47%,0.0
2,1 JUL 20,165,0.0,0.01,SPY200701P165,0.02,-.03,9,0.06%,99.94%,0.12%,0.0,-0.01,0.0,9,280,0.005,0.0,361.64%,0.0
3,1 JUL 20,170,0.0,0.01,SPY200701P170,0.02,0,20,0.06%,99.94%,0.12%,0.0,0.0,0.0,20,363,0.005,0.0,345.29%,0.0
4,1 JUL 20,175,0.0,0.01,SPY200701P175,0.01,0,1,0.06%,99.94%,0.13%,0.0,-0.01,0.0,1,"1,560",0.005,0.0,329.40%,0.0
5,1 JUL 20,180,0.0,0.01,SPY200701P180,0.01,-.01,100,0.07%,99.93%,0.13%,0.0,0.0,0.0,100,337,0.005,0.0,313.94%,0.0
6,1 JUL 20,185,0.0,0.01,SPY200701P185,0.01,0,169,0.07%,99.93%,0.13%,0.0,-0.01,0.0,169,982,0.005,0.0,298.89%,0.0
7,1 JUL 20,190,0.0,0.01,SPY200701P190,0.01,-.01,410,0.07%,99.93%,0.13%,0.0,0.0,0.0,410,"1,662",0.005,0.0,284.21%,0.0
8,1 JUL 20,195,0.0,0.01,SPY200701P195,0.01,0,65,0.07%,99.93%,0.14%,0.0,0.0,0.0,65,"1,374",0.005,0.0,269.89%,0.0
9,1 JUL 20,200,0.0,0.01,SPY200701P200,0.01,-.01,66,0.07%,99.93%,0.14%,0.0,0.0,0.0,66,"1,404",0.005,0.0,255.91%,0.0
10,1 JUL 20,205,0.0,0.01,SPY200701P205,0.01,-.01,1,0.07%,99.93%,0.14%,0.0,0.0,0.0,1,"5,130",0.005,0.0,242.25%,0.0
11,1 JUL 20,210,0.0,0.01,SPY200701P210,0.02,+.01,22,0.08%,99.92%,0.15%,0.0,0.0,0.0,22,671,0.005,0.0,228.89%,0.0
12,1 JUL 20,215,0.0,0.01,SPY200701P215,0.02,0,764,0.08%,99.92%,0.15%,0.0,-0.01,0.0,764,"1,563",0.005,0.0,215.81%,0.0
13,1 JUL 20,220,0.0,0.01,SPY200701P220,0.02,0,"1,345",0.08%,99.92%,0.16%,0.0,-0.01,0.0,"1,345","2,331",0.005,0.0,203.00%,0.0
14,1 JUL 20,225,0.0,0.01,SPY200701P225,0.02,0,16,0.08%,99.92%,0.16%,0.0,-0.01,0.0,16,126,0.005,0.0,190.44%,0.0
15,1 JUL 20,230,0.0,0.01,SPY200701P230,0.01,-.02,30,0.09%,99.91%,0.17%,0.0,-0.01,0.0,30,"1,618",0.005,0.0,178.12%,0.0
16,1 JUL 20,235,0.0,0.01,SPY200701P235,0.01,-.03,3,0.09%,99.91%,0.18%,0.0,-0.01,0.0,3,445,0.005,0.0,166.02%,0.0
17,1 JUL 20,240,0.0,0.01,SPY200701P240,0.01,-.03,"3,444",0.10%,99.90%,0.19%,0.0,0.0,0.0,"3,444","4,293",0.005,0.0,154.14%,0.0
18,1 JUL 20,245,0.0,0.01,SPY200701P245,0.02,-.03,169,0.10%,99.90%,0.20%,0.0,0.0,0.0,169,"1,205",0.005,0.0,142.45%,0.0
19,1 JUL 20,250,0.0,0.01,SPY200701P250,0.01,0,0,0.11%,99.89%,0.21%,0.0,-0.01,0.0,0,"2,345",0.005,0.0,130.94%,0.0
20,1 JUL 20,255,0.0,0.01,SPY200701P255,0.02,-.04,104,0.11%,99.89%,0.22%,0.0,0.0,0.0,104,843,0.005,0.0,119.61%,0.0
21,1 JUL 20,260,0.0,0.01,SPY200701P260,0.01,0,0,0.12%,99.88%,0.24%,0.0,0.0,0.0,0,"1,408",0.005,0.0,108.43%,0.0
22,1 JUL 20,265,0.0,0.01,SPY200701P265,0.01,0,0,0.13%,99.87%,0.26%,0.0,-0.01,0.0,0,"1,131",0.005,0.0,97.40%,0.0
23,1 JUL 20,270,0.01,0.01,SPY200701P270,0.01,0,1,0.27%,99.73%,0.53%,0.0,-0.01,0.0,1,"10,175",0.01,0.0,92.37%,0.0
24,1 JUL 20,271,0.0,0.01,SPY200701P271,0.01,0,0,0.15%,99.85%,0.29%,0.0,-0.01,0.0,0,770,0.005,0.0,84.32%,0.0
25,1 JUL 20,272,0.0,0.01,SPY200701P272,0.01,0,0,0.15%,99.85%,0.30%,0.0,0.0,0.0,0,554,0.005,0.0,82.16%,0.0
26,1 JUL 20,273,0.0,0.01,SPY200701P273,0.01,0,0,0.15%,99.85%,0.30%,0.0,0.0,0.0,0,658,0.005,0.0,80.00%,0.0
27,1 JUL 20,274,0.0,0.01,SPY200701P274,0.01,0,0,0.16%,99.84%,0.31%,0.0,0.0,0.0,0,259,0.005,0.0,77.84%,0.0
28,1 JUL 20,275,0.01,0.01,SPY200701P275,0.01,-.01,11,0.29%,99.71%,0.58%,0.0,-0.01,0.0,11,"8,362",0.01,0.0,80.80%,0.0
29,1 JUL 20,276,0.0,0.01,SPY200701P276,0.01,0,0,0.17%,99.83%,0.33%,0.0,-0.01,0.0,0,605,0.005,0.0,73.54%,0.0
30,1 JUL 20,277,0.0,0.01,SPY200701P277,0.01,0,0,0.17%,99.83%,0.33%,0.0,-0.01,0.0,0,"2,059",0.005,0.0,71.39%,0.0
31,1 JUL 20,278,0.0,0.01,SPY200701P278,0.02,0,0,0.17%,99.83%,0.34%,0.0,0.0,0.0,0,"3,030",0.005,0.0,69.25%,0.0
32,1 JUL 20,279,0.0,0.01,SPY200701P279,0.01,0,0,0.18%,99.82%,0.35%,0.0,-0.01,0.0,0,681,0.005,0.0,67.11%,0.0
33,1 JUL 20,280,0.0,0.01,SPY200701P280,0.02,0,0,0.18%,99.82%,0.36%,0.0,0.0,0.0,0,"3,679",0.005,0.0,64.97%,0.0
34,1 JUL 20,281,0.0,0.01,SPY200701P281,0.02,0,0,0.19%,99.81%,0.37%,0.0,0.0,0.0,0,"1,602",0.005,0.0,62.84%,0.0
35,1 JUL 20,282,0.0,0.01,SPY200701P282,0.01,-.01,1,0.19%,99.81%,0.38%,0.0,0.0,0.0,1,"1,417",0.005,0.0,60.71%,0.0
36,1 JUL 20,283,0.02,0.01,SPY200701P283,0.01,-.01,21,0.48%,99.52%,0.95%,0.0,-0.01,0.0,21,"5,634",0.015,0.0,65.12%,0.0
37,1 JUL 20,284,0.0,0.01,SPY200701P284,0.01,-.01,1,0.21%,99.79%,0.40%,0.0,0.0,0.0,1,"1,150",0.005,0.0,56.45%,0.0
38,1 JUL 20,285,0.0,0.01,SPY200701P285,0.01,-.02,3,0.21%,99.79%,0.42%,0.0,0.0,0.0,3,"11,929",0.005,0.0,54.32%,0.0
39,1 JUL 20,286,0.03,0.01,SPY200701P286,0.01,-.02,5,0.69%,99.31%,1.35%,0.0,-0.02,0.0,5,"7,092",0.02,0.0,60.25%,0.0
40,1 JUL 20,287,0.0,0.01,SPY200701P287,0.03,0,0,0.23%,99.77%,0.44%,0.0,-0.01,0.0,0,"1,278",0.005,0.0,50.07%,0.0
41,1 JUL 20,288,0.04,0.01,SPY200701P288,0.01,-.02,10,0.87%,99.13%,1.69%,0.0,-0.02,0.0,10,"2,269",0.025,0.0,56.82%,0.0
42,1 JUL 20,289,0.0,0.01,SPY200701P289,0.01,-.03,23,0.24%,99.76%,0.48%,0.0,0.0,0.0,23,"6,035",0.005,0.0,45.82%,0.0
43,1 JUL 20,290,0.0,0.01,SPY200701P290,0.01,-.04,30,0.25%,99.75%,0.50%,0.0,0.0,0.0,30,"16,654",0.005,0.0,43.69%,0.0
44,1 JUL 20,291,0.0,0.01,SPY200701P291,0.01,-.04,124,0.27%,99.73%,0.52%,0.0,-0.01,0.0,124,"1,893",0.005,0.0,41.56%,0.0
45,1 JUL 20,292,0.0,0.01,SPY200701P292,0.01,-.04,19,0.28%,99.72%,0.54%,0.0,-0.01,0.0,19,"4,858",0.005,0.0,39.43%,0.0
46,1 JUL 20,293,0.0,0.01,SPY200701P293,0.01,-.04,113,0.29%,99.71%,0.57%,0.0,0.0,0.0,113,"2,251",0.005,0.0,37.30%,0.0
47,1 JUL 20,294,0.0,0.01,SPY200701P294,0.01,-.05,58,0.31%,99.69%,0.60%,0.0,0.0,0.0,58,"2,608",0.005,0.0,35.17%,0.0
48,1 JUL 20,295,0.0,0.01,SPY200701P295,0.01,-.05,243,0.32%,99.68%,0.63%,0.0,0.0,0.0,243,"20,141",0.005,0.0,33.03%,0.0
49,1 JUL 20,296,0.0,0.01,SPY200701P296,0.01,-.07,325,0.34%,99.66%,0.67%,0.0,0.0,0.0,325,"4,373",0.005,0.0,30.89%,0.0
