Option Code,LAST,LX,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theo Price,Theta,Vega,Volume,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,BID,BX,ASK,AX,,,Exp,Strike,BID,BX,ASK,AX,Option Code,LAST,LX,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theo Price,Theta,Vega,Volume,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,,
SPY200803C155,162.00,N,<empty>,2,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,2,2,-1.54,.00,--,171.47,169.73,W,170.13,W,,,3 AUG 20,155,0,J,.01,W,SPY200803P155,.01,C,0,1,0.06%,99.94%,0.11%,.00,0,.00,.00,1,99,.005,.00,244.60%,0,,
SPY200803C160,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,<empty>,-1.54,.00,--,166.47,164.73,W,165.13,W,,,3 AUG 20,160,0,J,.01,W,SPY200803P160,.03,Q,0,5,0.06%,99.94%,0.11%,.00,0,.00,.00,5,0,.005,.00,234.63%,0,,
SPY200803C165,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,<empty>,-1.54,.00,--,161.47,159.73,W,160.13,W,,,3 AUG 20,165,0,J,.01,W,SPY200803P165,.01,M,-.01,1,0.06%,99.94%,0.11%,.00,0,.00,.00,1,101,.005,.00,224.96%,0,,
SPY200803C170,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,<empty>,-1.54,.00,--,156.47,154.73,W,155.13,W,,,3 AUG 20,170,0,J,.01,W,SPY200803P170,.01,M,0,"3,900",0.06%,99.94%,0.12%,.00,0,.00,.00,"3,900",33,.005,.00,215.57%,0,,
SPY200803C175,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,<empty>,-1.54,.00,--,151.47,149.73,W,150.13,W,,,3 AUG 20,175,0,J,.01,W,SPY200803P175,.01,Z,0,400,0.06%,99.94%,0.12%,.00,0,.00,.00,400,977,.005,.00,206.45%,0,,
SPY200803C180,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,<empty>,-1.54,.00,--,146.47,144.73,W,145.13,W,,,3 AUG 20,180,0,J,.01,W,SPY200803P180,.05,I,-.01,20,0.06%,99.94%,0.12%,.00,0,.00,.00,20,270,.005,.00,197.57%,0,,
SPY200803C185,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,<empty>,-1.54,.00,--,141.47,139.73,W,140.13,W,,,3 AUG 20,185,0,J,.01,W,SPY200803P185,.01,M,0,4,0.06%,99.94%,0.12%,.00,0,.00,.00,4,316,.005,.00,188.93%,0,,
SPY200803C190,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,<empty>,-1.54,.00,--,136.47,134.73,W,135.13,W,,,3 AUG 20,190,0,J,.01,W,SPY200803P190,.01,C,-.01,1,0.06%,99.94%,0.12%,.00,0,.00,.00,1,19,.005,.00,180.51%,0,,
SPY200803C195,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,<empty>,-1.54,.00,--,131.47,129.73,W,130.13,W,,,3 AUG 20,195,0,J,.01,W,SPY200803P195,.01,P,-.06,2,0.06%,99.94%,0.13%,.00,0,.00,.00,2,351,.005,.00,172.30%,0,,
SPY200803C200,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,<empty>,-1.54,.00,--,126.47,124.73,W,125.13,W,,,3 AUG 20,200,0,J,.01,W,SPY200803P200,.02,M,0,5,0.07%,99.93%,0.13%,.00,0,.00,.00,5,102,.005,.00,164.29%,0,,
