Stock quote and option quote for SPY on 9/1/20 11:25:55

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
350.51,Y,+1.20,350.51,Z,350.52,Q,2 x 14,"19,223,846",350.21,351.40,349.24

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
100,1.56%,81.89,1.366,Q,6/19/20,351.30,218.26,"947,430,000",1.008

Theo parameters
Theo date,Theo stock price,Theo volatility
12/30/20, 0.00$, 0.00%

2 SEP 20  (1)  100 (Weeklys)
Option Code,LAST,LX,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theo Price,Theta,Vega,Volume,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,BID,BX,ASK,AX,,,Exp,Strike,BID,BX,ASK,AX,Option Code,LAST,LX,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theo Price,Theta,Vega,Volume,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,,
SPY200902C165,185.37,I,0,0,98.82%,1.18%,2.24%,.01,0,-.19,.00,0,1,.19,.00,420.78%,185.51,185.54,I,185.86,Z,,,2 SEP 20,165,0,J,.01,W,SPY200902P165,0, ,0,<empty>,0.05%,99.95%,0.11%,.00,0,.00,.00,<empty>,31,.005,.00,301.39%,0,,
SPY200902C170,180.35,I,0,0,98.64%,1.36%,2.58%,.01,0,-.22,.00,0,1,.225,.00,413.81%,180.51,180.58,W,180.89,I,,,2 SEP 20,170,0,B,.01,W,SPY200902P170,.02,W,<empty>,1,0.05%,99.95%,0.11%,.00,0,.00,.00,1,1,.005,.00,289.97%,0,,
SPY200902C175,0, ,0,<empty>,98.71%,1.29%,2.46%,.01,0,-.21,.00,<empty>,0,.21,.00,395.14%,175.51,175.58,W,175.86,X,,,2 SEP 20,175,0,B,.01,W,SPY200902P175,0, ,0,<empty>,0.06%,99.94%,0.11%,.00,0,.00,.00,<empty>,37,.005,.00,278.86%,0,,
SPY200902C180,0, ,0,<empty>,98.70%,1.30%,2.48%,.01,0,-.21,.00,<empty>,0,.21,.00,380.40%,170.51,170.56,I,170.88,W,,,2 SEP 20,180,0,B,.01,W,SPY200902P180,.01,X,0,7,0.06%,99.94%,0.11%,.00,0,.00,.00,7,"1,449",.005,.00,268.07%,0,,
SPY200902C185,0, ,0,<empty>,98.69%,1.31%,2.50%,.01,0,-.20,.00,<empty>,0,.21,.00,365.96%,165.51,165.56,I,165.88,W,,,2 SEP 20,185,0,B,.01,W,SPY200902P185,0, ,0,<empty>,0.06%,99.94%,0.11%,.00,0,.00,.00,<empty>,"1,050",.005,.00,257.56%,0,,
SPY200902C190,0, ,0,<empty>,98.68%,1.32%,2.52%,.01,0,-.20,.00,<empty>,0,.21,.00,351.91%,160.51,160.56,I,160.88,W,,,2 SEP 20,190,0,B,.01,W,SPY200902P190,.07,Q,<empty>,100,0.06%,99.94%,0.11%,.00,0,.00,.00,100,100,.005,.00,247.32%,0,,
SPY200902C195,0, ,0,<empty>,98.77%,1.23%,2.36%,.01,0,-.19,.00,<empty>,0,.19,.00,334.06%,155.51,155.54,I,155.86,Z,,,2 SEP 20,195,0,J,.01,W,SPY200902P195,.01,A,-.12,2,0.06%,99.94%,0.11%,.00,0,.00,.00,2,12,.005,.00,237.35%,0,,
SPY200902C200,132.11,E,<empty>,1,98.58%,1.42%,2.73%,.01,0,-.22,.01,1,1,.225,.00,327.81%,150.51,150.58,W,150.89,I,,,2 SEP 20,200,0,J,.01,W,SPY200902P200,.01,I,0,0,0.06%,99.94%,0.11%,.00,0,.00,.00,0,58,.005,.00,227.61%,0,,
SPY200902C205,0, ,0,<empty>,98.56%,1.44%,2.77%,.01,0,-.22,.01,<empty>,0,.225,.00,314.70%,145.51,145.58,W,145.89,I,,,2 SEP 20,205,0,B,.01,W,SPY200902P205,.08,I,-.03,8,0.06%,99.94%,0.12%,.00,0,.00,.00,8,66,.005,.00,218.10%,0,,
SPY200902C210,0, ,0,<empty>,98.62%,1.38%,2.66%,.01,0,-.20,.01,<empty>,0,.21,.00,299.15%,140.51,140.56,I,140.88,W,,,2 SEP 20,210,0,B,.01,W,SPY200902P210,.06,M,-.01,30,0.06%,99.94%,0.12%,.00,0,.00,.00,30,196,.005,.00,208.82%,0,,
