Strike,BID,ASK,LAST,Delta,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theta,Vega,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,High,Mark,expire_days,target,dt_predict,rf_predict,kn_predict
339,2.65,2.66,2.7,-0.25,-0.53,1133,26.22,73.78,50.6,-0.04,-0.16,0.25,6024,2.655,0.02,22.78,0.0,3.17,2.655,17,0,1,1,1
346,4.97,5.0,5.19,-0.39,0.23,12,41.23,58.77,78.26,-0.09,-0.16,0.34,209,4.985,0.02,19.84,0.0,5.19,4.985,22,0,1,1,1
337,3.39,3.41,3.45,-0.25,-0.45,233,27.55,72.45,52.72,-0.06,-0.15,0.29,1515,3.4,0.01,23.44,0.0,3.91,3.4,24,0,1,1,1
348,2.0,2.02,2.01,-0.35,-0.8,668,35.75,64.25,70.93,-0.03,-0.18,0.2,1601,2.01,0.04,15.37,0.0,2.78,2.01,8,0,1,1,1
327,1.56,1.58,1.66,-0.13,0.04,3,14.86,85.14,28.75,-0.03,-0.12,0.18,634,1.57,0.01,26.82,0.0,1.69,1.57,20,0,1,1,1
336,3.23,3.25,3.24,-0.24,-0.32,213,26.32,73.68,50.4,-0.06,-0.15,0.29,1157,3.24,0.01,23.82,0.0,3.73,3.24,24,0,1,1,1
295,0.9,0.92,0.91,-0.05,-0.05,6,6.67,93.33,12.88,-0.02,-0.07,0.11,4931,0.91,0.0,38.41,0.0,0.99,0.91,29,1,1,1,1
335,2.09,2.1,2.09,-0.19,-0.5,1489,20.93,79.07,40.5,-0.03,-0.15,0.21,44507,2.095,0.01,24.43,0.0,2.55,2.095,17,0,1,1,1
321,1.19,1.21,1.74,-0.1,0.17,13,11.28,88.72,21.87,-0.02,-0.11,0.15,132,1.2,0.01,29.31,0.0,0.0,1.2,20,1,1,1,1
310,0.77,0.79,0.8,-0.06,-0.03,3,7.18,92.82,13.94,-0.01,-0.08,0.1,237,0.78,0.0,33.98,0.0,0.87,0.78,20,1,1,1,1
337,1.18,1.19,1.23,-0.15,-0.39,28,16.4,83.6,32.45,-0.02,-0.12,0.16,579,1.185,0.02,21.08,0.0,1.3,1.185,13,0,1,1,1
344,3.65,3.66,3.73,-0.33,-0.64,609,35.04,64.96,67.3,-0.06,-0.18,0.28,3007,3.655,0.02,20.81,0.0,4.34,3.655,17,0,1,1,1
336,3.84,3.87,3.86,-0.26,0.0,31,28.27,71.73,53.98,-0.08,-0.14,0.33,2630,3.855,0.01,23.59,0.0,3.96,3.855,29,1,1,1,1
330,2.13,2.16,2.19,-0.17,-0.2,45,18.79,81.21,36.19,-0.04,-0.13,0.22,372,2.145,0.01,25.88,0.0,2.41,2.145,22,0,1,1,1
330,2.45,2.48,2.48,-0.18,-0.35,41,20.17,79.83,38.77,-0.05,-0.13,0.24,2313,2.465,0.01,26.12,0.0,2.77,2.465,24,0,1,1,1
322,1.08,1.09,1.09,-0.1,-0.26,1066,10.79,89.21,20.97,-0.02,-0.11,0.13,41424,1.085,0.01,30.08,0.0,1.33,1.085,17,1,1,1,1
323,1.3,1.32,1.31,-0.11,-0.04,50,12.35,87.65,23.92,-0.02,-0.11,0.16,186,1.31,0.01,28.49,0.0,1.48,1.31,20,1,1,1,1
323,2.28,2.3,2.43,-0.15,-0.04,280,16.99,83.01,32.66,-0.05,-0.12,0.23,4830,2.29,0.01,28.27,0.0,2.43,2.29,29,1,1,1,1
326,0.56,0.58,0.62,-0.07,-0.05,1,7.72,92.28,15.27,-0.01,-0.08,0.09,448,0.57,0.01,26.21,0.0,0.62,0.57,13,1,1,1,1
342,2.42,2.44,2.46,-0.26,-0.61,10,27.53,72.47,54.35,-0.04,-0.15,0.24,582,2.43,0.02,20.47,0.0,2.64,2.43,15,0,1,1,1
346,4.19,4.2,4.22,-0.38,-0.76,1693,39.38,60.62,75.46,-0.07,-0.18,0.3,4626,4.195,0.02,20.1,0.0,5.09,4.195,17,0,1,1,1
305,1.05,1.07,1.15,-0.07,0.1,11,8.24,91.76,15.94,-0.02,-0.08,0.13,288,1.06,0.0,34.71,0.0,1.15,1.06,27,1,1,1,1
345,1.04,1.05,1.05,-0.22,-0.6,30439,22.68,77.32,45.06,-0.02,-0.15,0.15,2645,1.045,0.04,15.77,0.0,1.7,1.045,7,0,1,1,1
313,0.5,0.51,0.59,-0.05,0.07,1,5.53,94.47,10.9,-0.01,-0.08,0.07,1205,0.505,0.0,33.72,0.0,0.59,0.505,15,1,1,1,1
349,1.38,1.4,1.4,-0.35,-0.9,10023,35.69,64.31,70.99,-0.01,-0.29,0.14,6494,1.39,0.06,15.87,0.0,2.39,1.39,3,0,1,1,1
346,5.69,5.73,5.78,-0.4,0.03,9,42.44,57.56,80.31,-0.11,-0.15,0.38,80,5.71,0.02,19.8,0.0,5.95,5.71,27,0,1,1,1
297,0.96,0.97,1.0,-0.06,0.04,6,7.08,92.92,13.68,-0.02,-0.07,0.12,4768,0.965,0.0,37.67,0.0,1.0,0.965,29,1,1,1,1
300,0.67,0.68,0.68,-0.05,-0.09,4,5.73,94.27,11.11,-0.01,-0.07,0.09,703,0.675,0.0,37.98,0.0,0.7,0.675,22,1,1,1,1
335,2.34,2.36,2.5,-0.2,0.11,13,22.17,77.83,42.72,-0.04,-0.14,0.24,428,2.35,0.01,23.58,0.0,2.59,2.35,20,0,1,1,1
291,0.8,0.82,0.83,-0.05,-0.12,1,5.92,94.08,11.44,-0.01,-0.07,0.1,2236,0.81,0.0,39.86,0.0,0.83,0.81,29,1,1,1,1
330,0.72,0.74,0.73,-0.09,-0.31,218,10.0,90.0,19.78,-0.01,-0.1,0.11,1603,0.73,0.01,24.34,0.0,1.03,0.73,13,1,1,1,1
296,0.93,0.94,0.97,-0.06,-0.03,202,6.86,93.14,13.25,-0.02,-0.07,0.11,1111,0.935,0.0,38.02,0.0,0.97,0.935,29,1,1,1,1
275,0.5,0.51,0.53,-0.03,-0.03,11,3.7,96.3,7.15,-0.01,-0.05,0.06,13417,0.505,0.0,45.5,0.0,0.6,0.505,29,1,1,1,1
317,1.01,1.03,1.37,-0.08,-0.1,31,9.51,90.49,18.46,-0.02,-0.1,0.13,150,1.02,0.01,31.02,0.0,0.0,1.02,20,1,1,1,1
338,0.98,1.0,1.06,-0.15,-0.38,297,15.45,84.55,30.61,-0.02,-0.13,0.14,2252,0.99,0.02,21.28,0.0,1.37,0.99,10,0,1,1,1
342,1.76,1.78,1.8,-0.23,-0.54,63,24.2,75.8,47.89,-0.03,-0.14,0.21,268,1.77,0.02,18.84,0.0,2.12,1.77,13,0,1,1,1
320,2.04,2.06,2.1,-0.13,-0.17,186,15.21,84.79,29.27,-0.04,-0.11,0.22,31387,2.05,0.01,29.35,0.0,2.37,2.05,29,1,1,1,1
332,1.99,2.02,2.18,-0.17,-0.01,1,18.99,81.01,36.66,-0.04,-0.13,0.22,708,2.005,0.01,24.78,0.0,2.18,2.005,20,0,1,1,1
329,2.04,2.06,2.1,-0.16,0.03,3,17.96,82.04,34.6,-0.04,-0.13,0.22,147,2.05,0.01,26.29,0.0,2.24,2.05,22,0,1,1,1
349,0.52,0.53,0.53,-0.26,-0.86,34459,26.02,73.98,51.88,0.0,-0.29,0.08,11766,0.525,0.1,12.99,0.0,1.49,0.525,1,1,1,1,1
324,0.83,0.84,0.93,-0.08,-0.12,12,9.42,90.58,18.59,-0.01,-0.1,0.11,1123,0.835,0.01,28.62,0.0,0.93,0.835,15,1,1,1,1
317,1.83,1.85,1.83,-0.12,0.0,21,13.65,86.35,26.29,-0.04,-0.1,0.2,3142,1.84,0.01,30.42,0.0,2.14,1.84,29,1,1,1,1
346,5.41,5.44,5.57,-0.4,-0.33,91,41.98,58.02,79.55,-0.1,-0.16,0.35,710,5.425,0.02,20.2,0.0,6.02,5.425,24,0,1,1,1
290,0.78,0.79,0.82,-0.05,-0.08,24,5.74,94.26,11.09,-0.01,-0.06,0.1,9791,0.785,0.0,40.21,0.0,0.86,0.785,29,1,1,1,1
349,4.13,4.16,4.28,-0.43,-0.77,139,44.03,55.97,86.89,-0.07,-0.16,0.29,10587,4.145,0.03,17.66,0.0,5.01,4.145,15,0,1,1,1
342,0.66,0.67,0.67,-0.14,-0.44,637,15.02,84.98,29.85,-0.01,-0.13,0.12,1133,0.665,0.03,17.08,0.0,1.16,0.665,7,0,1,1,1
