Strike,BID,ASK,LAST,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theta,Vega,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,expire_days,expire_price,target
170,0.0,0.01,0.02,0.0,1,0.05,99.95,0.11,0.0,0.0,0.0,1,0.005,0.0,289.97,0.0,1,353.43,0
180,0.0,0.01,0.01,0.0,7,0.06,99.94,0.11,0.0,0.0,0.0,1449,0.005,0.0,268.07,0.0,1,353.43,0
190,0.0,0.01,0.07,0.0,100,0.06,99.94,0.11,0.0,0.0,0.0,100,0.005,0.0,247.32,0.0,1,353.43,0
195,0.0,0.01,0.01,-0.12,2,0.06,99.94,0.11,0.0,0.0,0.0,12,0.005,0.0,237.35,0.0,1,353.43,0
205,0.0,0.01,0.08,-0.03,8,0.06,99.94,0.12,0.0,0.0,0.0,66,0.005,0.0,218.1,0.0,1,353.43,0
210,0.0,0.01,0.06,-0.01,30,0.06,99.94,0.12,0.0,0.0,0.0,196,0.005,0.0,208.82,0.0,1,353.43,0
220,0.0,0.01,0.02,-0.01,100,0.06,99.94,0.12,0.0,0.0,0.0,265,0.005,0.0,190.85,0.0,1,353.43,0
225,0.0,0.01,0.02,0.0,2,0.06,99.94,0.13,0.0,0.0,0.0,561,0.005,0.0,182.15,0.0,1,353.43,0
230,0.0,0.01,0.01,-0.01,400,0.07,99.93,0.13,0.0,0.0,0.0,321,0.005,0.0,173.63,0.0,1,353.43,0
235,0.0,0.01,0.01,-0.01,1,0.07,99.93,0.13,0.0,0.0,0.0,103,0.005,0.0,165.28,0.0,1,353.43,0
240,0.0,0.01,0.04,-0.01,20,0.07,99.93,0.14,0.0,0.0,0.0,40418,0.005,0.0,157.08,0.0,1,353.43,0
245,0.0,0.01,0.01,-0.05,1,0.07,99.93,0.14,0.0,0.0,0.0,11,0.005,0.0,149.04,0.0,1,353.43,0
255,0.0,0.01,0.01,-0.04,1,0.08,99.92,0.15,0.0,0.0,0.0,23,0.005,0.0,133.39,0.0,1,353.43,0
260,0.0,0.01,0.01,0.0,92,0.08,99.92,0.15,0.0,0.0,0.0,129,0.005,0.0,125.76,0.0,1,353.43,0
270,0.0,0.01,0.02,0.0,1171,0.08,99.92,0.17,0.0,0.0,0.0,1567,0.005,0.0,110.86,0.0,1,353.43,0
275,0.0,0.01,0.02,0.0,15,0.09,99.91,0.17,0.0,0.0,0.0,233,0.005,0.0,103.58,0.0,1,353.43,0
298,0.0,0.01,0.04,0.0,2,0.12,99.88,0.23,0.0,0.0,0.0,85,0.005,0.0,71.34,0.0,1,353.43,0
299,0.0,0.01,0.03,-0.03,12,0.12,99.88,0.23,0.0,0.0,0.0,468,0.005,0.0,69.98,0.0,1,353.43,0
304,0.0,0.01,0.07,0.02,131,0.13,99.87,0.25,0.0,0.0,0.0,376,0.005,0.0,63.22,0.0,1,353.43,0
309,0.0,0.01,0.01,-0.01,1,0.14,99.86,0.27,0.0,0.0,0.0,255,0.005,0.0,56.51,0.0,1,353.43,0
310,0.0,0.01,0.01,-0.02,39,0.14,99.86,0.28,0.0,0.0,0.0,2503,0.005,0.0,55.18,0.0,1,353.43,0
312,0.0,0.01,0.01,-0.01,1,0.15,99.85,0.29,0.0,0.0,0.0,331,0.005,0.0,52.51,0.0,1,353.43,0
313,0.0,0.01,0.01,0.0,4,0.15,99.85,0.3,0.0,0.0,0.0,758,0.005,0.0,51.19,0.0,1,353.43,0
315,0.0,0.01,0.02,0.0,3,0.16,99.84,0.31,0.0,0.0,0.0,636,0.005,0.0,48.54,0.0,1,353.43,0
316,0.0,0.01,0.01,-0.01,41,0.16,99.84,0.32,0.0,0.0,0.0,5308,0.005,0.0,47.22,0.0,1,353.43,0
317,0.0,0.01,0.01,-0.02,19,0.16,99.84,0.32,0.0,0.0,0.0,876,0.005,0.0,45.9,0.0,1,353.43,0
318,0.0,0.01,0.01,-0.01,47,0.17,99.83,0.33,0.0,0.0,0.0,1074,0.005,0.0,44.58,0.0,1,353.43,0
319,0.01,0.02,0.01,-0.01,143,0.42,99.58,0.83,0.0,-0.01,0.0,919,0.015,0.0,47.95,0.0,1,353.43,0
320,0.01,0.02,0.01,-0.03,38,0.44,99.56,0.87,0.0,-0.01,0.0,3014,0.015,0.0,46.66,0.0,1,353.43,0
322,0.01,0.02,0.02,-0.01,1,0.46,99.54,0.92,0.0,-0.01,0.0,529,0.015,0.0,43.78,0.0,1,353.43,0
323,0.01,0.02,0.02,-0.02,10,0.48,99.52,0.95,0.0,-0.01,0.0,847,0.015,0.0,42.35,0.0,1,353.43,0
324,0.01,0.02,0.01,-0.02,9,0.49,99.51,0.98,0.0,-0.01,0.0,1783,0.015,0.0,40.91,0.0,1,353.43,0
325,0.01,0.02,0.02,-0.02,5,0.51,99.49,1.01,0.0,-0.01,0.0,1421,0.015,0.0,39.48,0.0,1,353.43,0
326,0.01,0.02,0.01,-0.04,3,0.52,99.48,1.04,0.0,-0.01,0.0,848,0.015,0.0,38.06,0.0,1,353.43,0
327,0.01,0.02,0.01,-0.04,3,0.54,99.46,1.08,0.0,-0.02,0.0,543,0.015,0.0,36.65,0.0,1,353.43,0
328,0.01,0.02,0.01,-0.05,8,0.56,99.44,1.12,0.0,-0.02,0.0,962,0.015,0.0,35.22,0.0,1,353.43,0
329,0.01,0.02,0.02,-0.02,45,0.59,99.41,1.17,0.0,-0.02,0.0,980,0.015,0.0,33.79,0.0,1,353.43,0
330,0.02,0.03,0.02,-0.05,441,0.9,99.1,1.79,0.0,-0.02,0.01,3806,0.025,0.0,34.26,0.0,1,353.43,0
331,0.02,0.03,0.02,-0.02,24,0.93,99.07,1.86,0.0,-0.02,0.01,2171,0.025,0.0,32.74,0.0,1,353.43,0
