,Option Code,LAST,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theta,Vega,Volume.1,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,BID,ASK,Unnamed: 22,Unnamed: 23,Exp,Strike
0,SPY200902C165,185.37,0,0,98.82%,1.18%,2.24%,0.01,-0.19,0.0,0,1,0.19,0.0,420.78%,185.51,185.54,185.86,,,2 SEP 20,165
1,SPY200902C170,180.35,0,0,98.64%,1.36%,2.58%,0.01,-0.22,0.0,0,1,0.225,0.0,413.81%,180.51,180.58,180.89,,,2 SEP 20,170
2,SPY200902C175,0.0,0,<empty>,98.71%,1.29%,2.46%,0.01,-0.21,0.0,<empty>,0,0.21,0.0,395.14%,175.51,175.58,175.86,,,2 SEP 20,175
3,SPY200902C180,0.0,0,<empty>,98.70%,1.30%,2.48%,0.01,-0.21,0.0,<empty>,0,0.21,0.0,380.40%,170.51,170.56,170.88,,,2 SEP 20,180
4,SPY200902C185,0.0,0,<empty>,98.69%,1.31%,2.50%,0.01,-0.2,0.0,<empty>,0,0.21,0.0,365.96%,165.51,165.56,165.88,,,2 SEP 20,185
5,SPY200902C190,0.0,0,<empty>,98.68%,1.32%,2.52%,0.01,-0.2,0.0,<empty>,0,0.21,0.0,351.91%,160.51,160.56,160.88,,,2 SEP 20,190
6,SPY200902C195,0.0,0,<empty>,98.77%,1.23%,2.36%,0.01,-0.19,0.0,<empty>,0,0.19,0.0,334.06%,155.51,155.54,155.86,,,2 SEP 20,195
7,SPY200902C200,132.11,<empty>,1,98.58%,1.42%,2.73%,0.01,-0.22,0.01,1,1,0.225,0.0,327.81%,150.51,150.58,150.89,,,2 SEP 20,200
8,SPY200902C205,0.0,0,<empty>,98.56%,1.44%,2.77%,0.01,-0.22,0.01,<empty>,0,0.225,0.0,314.70%,145.51,145.58,145.89,,,2 SEP 20,205
9,SPY200902C210,0.0,0,<empty>,98.62%,1.38%,2.66%,0.01,-0.2,0.01,<empty>,0,0.21,0.0,299.15%,140.51,140.56,140.88,,,2 SEP 20,210
