,underlying symbol,underlying price,description,max profit,max loss,max profit prob,max loss prob,spread premium,spread theo premium,expectation,leg1 symbol,leg2 symbol,leg1 theo,leg2 theo,leg1 delta,leg2 delta,leg1 volume,leg2 volume,leg1 inTheMoney,leg2 inTheMoney
0,EWZ,33.355,Buy EWZ_091820C40; Sell EWZ_091820C36,0.7,-3.3,0.714763,0.0649197,0.7,0.7,0.040732588739958435,EWZ_091820C36,EWZ_091820C40,0.825,0.125,0.306,0.073,62,4086,0,0
1,IWM,148.555,Buy IWM_091820C159; Sell IWM_091820C157,0.6150000000000002,-1.3849999999999998,0.710542,0.242223,0.6150000000000002,0.6149999999999998,0.06802444080954381,IWM_091820C157,IWM_091820C159,2.73,2.115,0.302,0.254,526,137,0,0
2,IWM,148.555,Buy IWM_091820C160; Sell IWM_091820C157,0.8800000000000003,-2.1199999999999997,0.710542,0.219933,0.8800000000000003,0.8799999999999999,0.065299591455581,IWM_091820C157,IWM_091820C160,2.73,1.85,0.302,0.231,526,22427,0,0
3,IWM,148.555,Buy IWM_091820C160; Sell IWM_091820C158,0.5550000000000002,-1.4449999999999998,0.734675,0.219933,0.5550000000000002,0.5549999999999997,0.056479391089333794,IWM_091820C158,IWM_091820C160,2.405,1.85,0.278,0.231,112,22427,0,0
4,IWM,148.555,Buy IWM_091820C161; Sell IWM_091820C158,0.79,-2.21,0.734675,0.198888,0.79,0.7899999999999998,0.05335813213980614,IWM_091820C158,IWM_091820C161,2.405,1.615,0.278,0.209,112,336,0,0
5,IWM,148.555,Buy IWM_091820C162; Sell IWM_091820C159,0.7200000000000002,-2.28,0.757777,0.178401,0.7200000000000002,0.7200000000000002,0.05046046343814698,IWM_091820C159,IWM_091820C162,2.115,1.395,0.254,0.188,137,325,0,0
6,IWM,148.555,Buy IWM_091820C163; Sell IWM_091820C160,0.645,-2.355,0.7800670000000001,0.159534,0.645,0.645,0.04327651740549231,IWM_091820C160,IWM_091820C163,1.85,1.205,0.231,0.169,22427,69,0,0
7,IWM,148.555,Buy IWM_091820C164; Sell IWM_091820C161,0.5750000000000002,-2.425,0.801112,0.14231,0.5750000000000002,0.575,0.03716932919109536,IWM_091820C161,IWM_091820C164,1.615,1.04,0.209,0.151,336,242,0,0
8,IWM,148.555,Buy IWM_091820C165; Sell IWM_091820C162,0.505,-2.495,0.821599,0.125813,0.505,0.505,0.0303550208757095,IWM_091820C162,IWM_091820C165,1.395,0.89,0.188,0.134,325,138,0,0
9,QQQ,261.34,Buy QQQ_090420C276; Sell QQQ_090420C274,0.6149999999999998,-1.3850000000000002,0.730628,0.234591,0.6149999999999998,0.6149999999999998,0.08610386261355372,QQQ_090420C274,QQQ_090420C276,3.44,2.825,0.283,0.247,234,35,0,0
10,QQQ,261.34,Buy QQQ_090420C278; Sell QQQ_090420C274,1.1549999999999998,-2.845,0.730628,0.201358,1.1549999999999998,1.1549999999999998,0.08426916082090957,QQQ_090420C274,QQQ_090420C278,3.44,2.285,0.283,0.213,234,26,0,0
11,QQQ,261.34,Buy QQQ_090420C278; Sell QQQ_090420C275,0.835,-2.165,0.748283,0.201358,0.835,0.835,0.07979067203418956,QQQ_090420C275,QQQ_090420C278,3.12,2.285,0.265,0.213,44,26,0,0
12,QQQ,261.34,Buy QQQ_090420C279; Sell QQQ_090420C275,1.0700000000000003,-2.9299999999999997,0.748283,0.186012,1.0700000000000003,1.065,0.07646588326218597,QQQ_090420C275,QQQ_090420C279,3.12,2.055,0.265,0.197,44,28,0,0
13,QQQ,261.34,Buy QQQ_090420C278; Sell QQQ_090420C276,0.54,-1.46,0.765409,0.201358,0.54,0.54,0.07713269393045465,QQQ_090420C276,QQQ_090420C278,2.825,2.285,0.247,0.213,35,26,0,0
14,QQQ,261.34,Buy QQQ_090420C279; Sell QQQ_090420C276,0.7750000000000004,-2.2249999999999996,0.765409,0.186012,0.7750000000000004,0.77,0.0729578592766299,QQQ_090420C276,QQQ_090420C279,2.825,2.055,0.247,0.197,35,28,0,0
15,QQQ,261.34,Buy QQQ_090420C280; Sell QQQ_090420C276,0.9900000000000002,-3.01,0.765409,0.170919,0.9900000000000002,0.9900000000000002,0.07078046748592166,QQQ_090420C276,QQQ_090420C280,2.825,1.835,0.247,0.182,35,62,0,0
16,QQQ,261.34,Buy QQQ_090420C282.5; Sell QQQ_090420C279,0.6799999999999997,-2.8200000000000003,0.8139879999999999,0.136537,0.6799999999999997,0.685,0.05069252147472944,QQQ_090420C279,QQQ_090420C282.5,2.055,1.37,0.197,0.146,28,171,0,0
17,QQQ,261.34,Buy QQQ_091820C277; Sell QQQ_091820C275,0.6749999999999998,-1.3250000000000002,0.7111350000000001,0.258349,0.6749999999999998,0.6750000000000003,0.10115651679074676,QQQ_091820C275,QQQ_091820C277,4.455,3.78,0.304,0.272,489,44,0,0
18,QQQ,261.34,Buy QQQ_091820C278; Sell QQQ_091820C275,0.9850000000000003,-2.0149999999999997,0.7111350000000001,0.243313,0.9850000000000003,0.9900000000000002,0.09873900462587892,QQQ_091820C275,QQQ_091820C278,4.455,3.465,0.304,0.257,489,1084,0,0
19,QQQ,261.34,Buy QQQ_091820C278; Sell QQQ_091820C276,0.6399999999999997,-1.3600000000000003,0.726458,0.243313,0.6399999999999997,0.6450000000000005,0.0955954898533194,QQQ_091820C276,QQQ_091820C278,4.11,3.465,0.288,0.257,124,1084,0,0
