Option Code,LAST,LX,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theo Price,Theta,Vega,Volume,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,LAST,LX,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theo Price,Theta,Vega,Volume,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,,
SPY201002C170,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.16,.00,--,167.89,167.51,H,167.95,C,2 OCT 20,170,0,B,.01,W,SPY201002P170,.01,A,0,1,0.06%,99.94%,0.11%,.00,0,.00,.00,1,72,.005,.00,276.20%,0,,
SPY201002C175,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.10,.00,--,162.89,162.56,X,163.02,H,2 OCT 20,175,0,B,.01,W,SPY201002P175,.01,Q,-.02,20,0.06%,99.94%,0.11%,.00,0,.00,.00,20,635,.005,.00,265.06%,0,,
SPY201002C180,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.105,.00,--,157.89,157.55,X,158.02,X,2 OCT 20,180,0,B,.01,W,SPY201002P180,.01,N,0,10,0.06%,99.94%,0.11%,.00,0,.00,.00,10,"4,524",.005,.00,254.22%,0,,
SPY201002C185,154.36,I,<empty>,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,0,-.18,.00,--,152.89,152.48,X,152.94,W,2 OCT 20,185,0,B,.01,W,SPY201002P185,.01,P,0,200,0.06%,99.94%,0.12%,.00,0,.00,.00,200,543,.005,.00,243.68%,0,,
SPY201002C190,149.44,I,<empty>,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,0,-.04,.00,--,147.89,147.47,N,148.23,X,2 OCT 20,190,0,B,.01,W,SPY201002P190,.01,P,0,21,0.06%,99.94%,0.12%,.00,0,.00,.00,21,526,.005,.00,233.40%,0,,
SPY201002C195,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.05,.00,--,142.89,142.60,X,143.08,X,2 OCT 20,195,0,B,.01,W,SPY201002P195,.01,P,-.13,100,0.06%,99.94%,0.12%,.00,0,.00,.00,100,158,.005,.00,223.38%,0,,
SPY201002C200,127.67,I,<empty>,40,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,40,20,-.04,.00,--,137.89,137.47,N,138.23,X,2 OCT 20,200,0,B,.01,W,SPY201002P200,.02,E,+.01,112,0.06%,99.94%,0.12%,.00,0,.00,.00,112,378,.005,.00,213.61%,0,,
SPY201002C205,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.125,.00,--,132.89,132.55,I,132.98,H,2 OCT 20,205,0,B,.01,W,SPY201002P205,.01,B,0,2,0.06%,99.94%,0.12%,.00,0,.00,.00,2,427,.005,.00,204.06%,0,,
SPY201002C210,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.04,.00,--,127.89,127.60,X,128.10,A,2 OCT 20,210,0,B,.01,W,SPY201002P210,.02,A,0,2,0.06%,99.94%,0.13%,.00,0,.00,.00,2,350,.005,.00,194.73%,0,,
SPY201002C215,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.17,.00,--,122.89,122.49,N,122.95,C,2 OCT 20,215,0,B,.01,W,SPY201002P215,.01,P,-.01,25,0.07%,99.93%,0.13%,.00,0,.00,.00,25,456,.005,.00,185.60%,0,,
